Diagnosis,Symptoms,MEDICATION,Specialty
C4480   Unspecified malignant neoplasm of overlapping sites of skin,,,Dermatology
C4481   Basal cell carcinoma of overlapping sites of skin,,,Dermatology
C4482   Squamous cell carcinoma of overlapping sites of skin,,,Dermatology
C4489   Other specified malignant neoplasm of overlapping sites of skin,,,Dermatology
"C4490   Unspecified malignant neoplasm of skin, unspecified",,,Dermatology
"C4491   Basal cell carcinoma of skin, unspecified",,,Dermatology
"C4492   Squamous cell carcinoma of skin, unspecified",,,Dermatology
"C4499   Other specified malignant neoplasm of skin, unspecified",,,Dermatology
C460    Kaposi's sarcoma of skin,,,Dermatology
C792    Secondary malignant neoplasm of skin,,,Dermatology
D0351   Melanoma in situ of anal skin,,,Dermatology
D040    Carcinoma in situ of skin of lip,,,Dermatology
"D0410   Carcinoma in situ of skin of unspecified eyelid, including canthus",,,Dermatology
"D0411   Carcinoma in situ of skin of right eyelid, including canthus",,,Dermatology
"D0412   Carcinoma in situ of skin of left eyelid, including canthus",,,Dermatology
D0430   Carcinoma in situ of skin of unspecified part of face,,,Dermatology
D0439   Carcinoma in situ of skin of other parts of face,,,Dermatology
D044    Carcinoma in situ of skin of scalp and neck,,,Dermatology
D045    Carcinoma in situ of skin of trunk,,,Dermatology
"D0460   Carcinoma in situ of skin of unspecified upper limb, including shoulder",,,Dermatology
"D0461   Carcinoma in situ of skin of right upper limb, including shoulder",,,Dermatology
"D0462   Carcinoma in situ of skin of left upper limb, including shoulder",,,Dermatology
"D0470   Carcinoma in situ of skin of unspecified lower limb, including hip",,,Dermatology
"D0471   Carcinoma in situ of skin of right lower limb, including hip",,,Dermatology
"D0472   Carcinoma in situ of skin of left lower limb, including hip",,,Dermatology
D048    Carcinoma in situ of skin of other sites,,,Dermatology
"D049    Carcinoma in situ of skin, unspecified",,,Dermatology
"D170    Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck",,,Dermatology
D171    Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,,,Dermatology
D1720   Benign lipomatous neoplasm of skin and subcutaneous tissue of unspecified limb,,,Dermatology
D1721   Benign lipomatous neoplasm of skin and subcutaneous tissue of right arm,,,Dermatology
D1722   Benign lipomatous neoplasm of skin and subcutaneous tissue of left arm,,,Dermatology
D1723   Benign lipomatous neoplasm of skin and subcutaneous tissue of right leg,,,Dermatology
D1724   Benign lipomatous neoplasm of skin and subcutaneous tissue of left leg,,,Dermatology
D1730   Benign lipomatous neoplasm of skin and subcutaneous tissue of unspecified sites,,,Dermatology
D1739   Benign lipomatous neoplasm of skin and subcutaneous tissue of other sites,,,Dermatology
D1801   Hemangioma of skin and subcutaneous tissue,,,Dermatology
D230    Other benign neoplasm of skin of lip,,,Dermatology
"D2310   Other benign neoplasm of skin of unspecified eyelid, including canthus",,,Dermatology
"D2311   Other benign neoplasm of skin of right eyelid, including canthus",,,Dermatology
"D2312   Other benign neoplasm of skin of left eyelid, including canthus",,,Dermatology
D2330   Other benign neoplasm of skin of unspecified part of face,,,Dermatology
D2339   Other benign neoplasm of skin of other parts of face,,,Dermatology
D234    Other benign neoplasm of skin of scalp and neck,,,Dermatology
D235    Other benign neoplasm of skin of trunk,,,Dermatology
"D2360   Other benign neoplasm of skin of unspecified upper limb, including shoulder",,,Dermatology
"D2361   Other benign neoplasm of skin of right upper limb, including shoulder",,,Dermatology
"D2362   Other benign neoplasm of skin of left upper limb, including shoulder",,,Dermatology
"D2370   Other benign neoplasm of skin of unspecified lower limb, including hip",,,Dermatology
"D2371   Other benign neoplasm of skin of right lower limb, including hip",,,Dermatology
"D2372   Other benign neoplasm of skin of left lower limb, including hip",,,Dermatology
"D239    Other benign neoplasm of skin, unspecified",,,Dermatology
D485    Neoplasm of uncertain behavior of skin,,,Dermatology
D863    Sarcoidosis of skin,,,Dermatology
E08620  Diabetes mellitus due to underlying condition with diabetic dermatitis,,,Dermatology
E08628  Diabetes mellitus due to underlying condition with other skin complications,,,Dermatology
E09620  Drug or chemical induced diabetes mellitus with diabetic dermatitis,,,Dermatology
E09628  Drug or chemical induced diabetes mellitus with other skin complications,,,Dermatology
E10620  Type 1 diabetes mellitus with diabetic dermatitis,,,Dermatology
E10628  Type 1 diabetes mellitus with other skin complications,,,Dermatology
E11620  Type 2 diabetes mellitus with diabetic dermatitis,,,Dermatology
E11628  Type 2 diabetes mellitus with other skin complications,,,Dermatology
E13620  Other specified diabetes mellitus with diabetic dermatitis,,,Dermatology
E13628  Other specified diabetes mellitus with other skin complications,,,Dermatology
F424    Excoriation (skin-picking) disorder,,,Dermatology
H01111  Allergic dermatitis of right upper eyelid,,,Dermatology
H01112  Allergic dermatitis of right lower eyelid,,,Dermatology
"H01113  Allergic dermatitis of right eye, unspecified eyelid",,,Dermatology
H01114  Allergic dermatitis of left upper eyelid,,,Dermatology
H01115  Allergic dermatitis of left lower eyelid,,,Dermatology
"H01116  Allergic dermatitis of left eye, unspecified eyelid",,,Dermatology
"H01119  Allergic dermatitis of unspecified eye, unspecified eyelid",,,Dermatology
H01131  Eczematous dermatitis of right upper eyelid,,,Dermatology
H01132  Eczematous dermatitis of right lower eyelid,,,Dermatology
"H01133  Eczematous dermatitis of right eye, unspecified eyelid",,,Dermatology
H01134  Eczematous dermatitis of left upper eyelid,,,Dermatology
H01135  Eczematous dermatitis of left lower eyelid,,,Dermatology
"H01136  Eczematous dermatitis of left eye, unspecified eyelid",,,Dermatology
"H01139  Eczematous dermatitis of unspecified eye, unspecified eyelid",,,Dermatology
H05011  Cellulitis of right orbit,,,Dermatology
H05012  Cellulitis of left orbit,,,Dermatology
H05013  Cellulitis of bilateral orbits,,,Dermatology
H05019  Cellulitis of unspecified orbit,,,Dermatology
K122    Cellulitis and abscess of mouth,,,Dermatology
K644    Residual hemorrhoidal skin tags,,,Dermatology
L00     Staphylococcal scalded skin syndrome,,,Dermatology
L03011  Cellulitis of right finger,,,Dermatology
L03012  Cellulitis of left finger,,,Dermatology
L03019  Cellulitis of unspecified finger,,,Dermatology
L03031  Cellulitis of right toe,,,Dermatology
L03032  Cellulitis of left toe,,,Dermatology
L03039  Cellulitis of unspecified toe,,,Dermatology
L03111  Cellulitis of right axilla,,,Dermatology
L03112  Cellulitis of left axilla,,,Dermatology
L03113  Cellulitis of right upper limb,,,Dermatology
L03114  Cellulitis of left upper limb,,,Dermatology
L03115  Cellulitis of right lower limb,,,Dermatology
L03116  Cellulitis of left lower limb,,,Dermatology
L03119  Cellulitis of unspecified part of limb,,,Dermatology
L03211  Cellulitis of face,,,Dermatology
L03213  Periorbital cellulitis,,,Dermatology
L03221  Cellulitis of neck,,,Dermatology
L03311  Cellulitis of abdominal wall,,,Dermatology
L03312  Cellulitis of back [any part except buttock],,,Dermatology
L03313  Cellulitis of chest wall,,,Dermatology
L03314  Cellulitis of groin,,,Dermatology
L03315  Cellulitis of perineum,,,Dermatology
L03316  Cellulitis of umbilicus,,,Dermatology
L03317  Cellulitis of buttock,,,Dermatology
"L03319  Cellulitis of trunk, unspecified",,,Dermatology
"L03811  Cellulitis of head [any part, except face]",,,Dermatology
L03818  Cellulitis of other sites,,,Dermatology
"L0390   Cellulitis, unspecified",,,Dermatology
L0889   Other specified local infections of the skin and subcutaneous tissue,,,Dermatology
"L089    Local infection of the skin and subcutaneous tissue, unspecified",,,Dermatology
L130    Dermatitis herpetiformis,,,Dermatology
L131    Subcorneal pustular dermatitis,,,Dermatology
L2082   Flexural eczema,,,Dermatology
L2083   Infantile (acute) (chronic) eczema,,,Dermatology
L2084   Intrinsic (allergic) eczema,,,Dermatology
L2089   Other atopic dermatitis,,,Dermatology
"L209    Atopic dermatitis, unspecified",,,Dermatology
L211    Seborrheic infantile dermatitis,,,Dermatology
L218    Other seborrheic dermatitis,,,Dermatology
"L219    Seborrheic dermatitis, unspecified",,,Dermatology
L22     Diaper dermatitis,,,Dermatology
L230    Allergic contact dermatitis due to metals,,,Dermatology
L231    Allergic contact dermatitis due to adhesives,,,Dermatology
L232    Allergic contact dermatitis due to cosmetics,,,Dermatology
L233    Allergic contact dermatitis due to drugs in contact with skin,,,Dermatology
L234    Allergic contact dermatitis due to dyes,,,Dermatology
L235    Allergic contact dermatitis due to other chemical products,,,Dermatology
L236    Allergic contact dermatitis due to food in contact with the skin,,,Dermatology
"L237    Allergic contact dermatitis due to plants, except food",,,Dermatology
L2381   Allergic contact dermatitis due to animal (cat) (dog) dander,,,Dermatology
L2389   Allergic contact dermatitis due to other agents,,,Dermatology
"L239    Allergic contact dermatitis, unspecified cause",,,Dermatology
L240    Irritant contact dermatitis due to detergents,,,Dermatology
L241    Irritant contact dermatitis due to oils and greases,,,Dermatology
L242    Irritant contact dermatitis due to solvents,,,Dermatology
L243    Irritant contact dermatitis due to cosmetics,,,Dermatology
L244    Irritant contact dermatitis due to drugs in contact with skin,,,Dermatology
L245    Irritant contact dermatitis due to other chemical products,,,Dermatology
L246    Irritant contact dermatitis due to food in contact with skin,,,Dermatology
"L247    Irritant contact dermatitis due to plants, except food",,,Dermatology
L2481   Irritant contact dermatitis due to metals,,,Dermatology
L2489   Irritant contact dermatitis due to other agents,,,Dermatology
"L249    Irritant contact dermatitis, unspecified cause",,,Dermatology
L250    Unspecified contact dermatitis due to cosmetics,,,Dermatology
L251    Unspecified contact dermatitis due to drugs in contact with skin,,,Dermatology
L252    Unspecified contact dermatitis due to dyes,,,Dermatology
L253    Unspecified contact dermatitis due to other chemical products,,,Dermatology
L254    Unspecified contact dermatitis due to food in contact with skin,,,Dermatology
"L255    Unspecified contact dermatitis due to plants, except food",,,Dermatology
L258    Unspecified contact dermatitis due to other agents,,,Dermatology
"L259    Unspecified contact dermatitis, unspecified cause",,,Dermatology
L26     Exfoliative dermatitis,,,Dermatology
L270    Generalized skin eruption due to drugs and medicaments taken internally,,,Dermatology
L271    Localized skin eruption due to drugs and medicaments taken internally,,,Dermatology
L272    Dermatitis due to ingested food,,,Dermatology
L278    Dermatitis due to other substances taken internally,,,Dermatology
L279    Dermatitis due to unspecified substance taken internally,,,Dermatology
L300    Nummular dermatitis,,,Dermatology
L303    Infective dermatitis,,,Dermatology
L308    Other specified dermatitis,,,Dermatology
"L309    Dermatitis, unspecified",,,Dermatology
L400    Psoriasis vulgaris,,,Dermatology
L401    Generalized pustular psoriasis,,,Dermatology
L404    Guttate psoriasis,,,Dermatology
"L4050   Arthropathic psoriasis, unspecified",,,Dermatology
L408    Other psoriasis,,,Dermatology
"L409    Psoriasis, unspecified",,,Dermatology
L562    Photocontact dermatitis [berloque dermatitis],,,Dermatology
L568    Other specified acute skin changes due to ultraviolet radiation,,,Dermatology
"L569    Acute skin change due to ultraviolet radiation, unspecified",,,Dermatology
L578    Other skin changes due to chronic exposure to nonionizing radiation,,,Dermatology
"L579    Skin changes due to chronic exposure to nonionizing radiation, unspecified",,,Dermatology
L590    Erythema ab igne [dermatitis ab igne],,,Dermatology
L598    Other specified disorders of the skin and subcutaneous tissue related to radiation,,,Dermatology
"L599    Disorder of the skin and subcutaneous tissue related to radiation, unspecified",,,Dermatology
L630    Alopecia (capitis) totalis,,,Dermatology
L631    Alopecia universalis,,,Dermatology
L638    Other alopecia areata,,,Dermatology
"L639    Alopecia areata, unspecified",,,Dermatology
L640    Drug-induced androgenic alopecia,,,Dermatology
L648    Other androgenic alopecia,,,Dermatology
"L649    Androgenic alopecia, unspecified",,,Dermatology
L652    Alopecia mucinosa,,,Dermatology
L668    Other cicatricial alopecia,,,Dermatology
"L669    Cicatricial alopecia, unspecified",,,Dermatology
L700    Acne vulgaris,,,Dermatology
L701    Acne conglobata,,,Dermatology
L702    Acne varioliformis,,,Dermatology
L703    Acne tropica,,,Dermatology
L704    Infantile acne,,,Dermatology
L705    Acne excoriee,,,Dermatology
L708    Other acne,,,Dermatology
"L709    Acne, unspecified",,,Dermatology
L710    Perioral dermatitis,,,Dermatology
L728    Other follicular cysts of the skin and subcutaneous tissue,,,Dermatology
"L729    Follicular cyst of the skin and subcutaneous tissue, unspecified",,,Dermatology
L730    Acne keloid,,,Dermatology
"L7601   Intraoperative hemorrhage and hematoma of skin and subcutaneous tissue complicating a
dermatologic procedure",,,Dermatology
"L7602   Intraoperative hemorrhage and hematoma of skin and subcutaneous tissue complicating other
procedure",,,Dermatology
"L7611   Accidental puncture and laceration of skin and subcutaneous tissue during a dermatologic
procedure",,,Dermatology
L7612   Accidental puncture and laceration of skin and subcutaneous tissue during other procedure,,,Dermatology
L7621   Postprocedural hemorrhage of skin and subcutaneous tissue following a dermatologic procedure,,,Dermatology
L7622   Postprocedural hemorrhage of skin and subcutaneous tissue following other procedure,,,Dermatology
L7631   Postprocedural hematoma of skin and subcutaneous tissue following a dermatologic procedure,,,Dermatology
L7632   Postprocedural hematoma of skin and subcutaneous tissue following other procedure,,,Dermatology
L7633   Postprocedural seroma of skin and subcutaneous tissue following a dermatologic procedure,,,Dermatology
L7634   Postprocedural seroma of skin and subcutaneous tissue following other procedure,,,Dermatology
L7681   Other intraoperative complications of skin and subcutaneous tissue,,,Dermatology
L7682   Other postprocedural complications of skin and subcutaneous tissue,,,Dermatology
L905    Scar conditions and fibrosis of skin,,,Dermatology
L908    Other atrophic disorders of skin,,,Dermatology
"L909    Atrophic disorder of skin, unspecified",,,Dermatology
L918    Other hypertrophic disorders of the skin,,,Dermatology
"L919    Hypertrophic disorder of the skin, unspecified",,,Dermatology
L922    Granuloma faciale [eosinophilic granuloma of skin],,,Dermatology
L923    Foreign body granuloma of the skin and subcutaneous tissue,,,Dermatology
L928    Other granulomatous disorders of the skin and subcutaneous tissue,,,Dermatology
"L929    Granulomatous disorder of the skin and subcutaneous tissue, unspecified",,,Dermatology
L958    Other vasculitis limited to the skin,,,Dermatology
"L959    Vasculitis limited to the skin, unspecified",,,Dermatology
L981    Factitial dermatitis,,,Dermatology
L983    Eosinophilic cellulitis [Wells],,,Dermatology
L985    Mucinosis of the skin,,,Dermatology
L986    Other infiltrative disorders of the skin and subcutaneous tissue,,,Dermatology
L987    Excessive and redundant skin and subcutaneous tissue,,,Dermatology
L988    Other specified disorders of the skin and subcutaneous tissue,,,Dermatology
"L989    Disorder of the skin and subcutaneous tissue, unspecified",,,Dermatology
L99     Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,,,Dermatology
N4822   Cellulitis of corpus cavernosum and penis,,,Dermatology
N825    Female genital tract-skin fistulae,,,Dermatology
O9972   Diseases of the skin and subcutaneous tissue complicating childbirth,,,Dermatology
O9973   Diseases of the skin and subcutaneous tissue complicating the puerperium,,,Dermatology
P394    Neonatal skin infection,,,Dermatology
Q828    Other specified congenital malformations of skin,,,Dermatology
"Q829    Congenital malformation of skin, unspecified",,,Dermatology
Q840    Congenital alopecia,,,Dermatology
R200    Anesthesia of skin,,,Dermatology
R201    Hypoesthesia of skin,,,Dermatology
R202    Paresthesia of skin,,,Dermatology
R208    Other disturbances of skin sensation,,,Dermatology
R209    Unspecified disturbances of skin sensation,,,Dermatology
R21     Rash and other nonspecific skin eruption,,,Dermatology
R234    Changes in skin texture,,,Dermatology
R238    Other skin changes,,,Dermatology
R239    Unspecified skin changes,,,Dermatology
R7611   Nonspecific reaction to tuberculin skin test without active tuberculosis,,,Dermatology
"T2000XA Burn of unspecified degree of head, face, and neck, unspecified site, initial encounter",,,Dermatology
"T2000XD Burn of unspecified degree of head, face, and neck, unspecified site, subsequent encounter",,,Dermatology
"T2000XS Burn of unspecified degree of head, face, and neck, unspecified site, sequela",,,Dermatology
"T2002XA Burn of unspecified degree of lip(s), initial encounter",,,Dermatology
"T2002XD Burn of unspecified degree of lip(s), subsequent encounter",,,Dermatology
"T2002XS Burn of unspecified degree of lip(s), sequela",,,Dermatology
"T2003XA Burn of unspecified degree of chin, initial encounter",,,Dermatology
"T2003XD Burn of unspecified degree of chin, subsequent encounter",,,Dermatology
"T2003XS Burn of unspecified degree of chin, sequela",,,Dermatology
"T2005XA Burn of unspecified degree of scalp [any part], initial encounter",,,Dermatology
"T2005XD Burn of unspecified degree of scalp [any part], subsequent encounter",,,Dermatology
"T2005XS Burn of unspecified degree of scalp [any part], sequela",,,Dermatology
"T2006XA Burn of unspecified degree of forehead and cheek, initial encounter",,,Dermatology
"T2006XD Burn of unspecified degree of forehead and cheek, subsequent encounter",,,Dermatology
"T2006XS Burn of unspecified degree of forehead and cheek, sequela",,,Dermatology
"T2007XA Burn of unspecified degree of neck, initial encounter",,,Dermatology
"T2007XD Burn of unspecified degree of neck, subsequent encounter",,,Dermatology
"T2007XS Burn of unspecified degree of neck, sequela",,,Dermatology
"T2009XA Burn of unspecified degree of multiple sites of head, face, and neck, initial encounter",,,Dermatology
"T2009XD Burn of unspecified degree of multiple sites of head, face, and neck, subsequent encounter",,,Dermatology
"T2009XS Burn of unspecified degree of multiple sites of head, face, and neck, sequela",,,Dermatology
"T2010XA Burn of first degree of head, face, and neck, unspecified site, initial encounter",,,Dermatology
"T2010XD Burn of first degree of head, face, and neck, unspecified site, subsequent encounter",,,Dermatology
"T2010XS Burn of first degree of head, face, and neck, unspecified site, sequela",,,Dermatology
"T2012XA Burn of first degree of lip(s), initial encounter",,,Dermatology
"T2012XD Burn of first degree of lip(s), subsequent encounter",,,Dermatology
"T2012XS Burn of first degree of lip(s), sequela",,,Dermatology
"T2013XA Burn of first degree of chin, initial encounter",,,Dermatology
"T2013XD Burn of first degree of chin, subsequent encounter",,,Dermatology
"T2013XS Burn of first degree of chin, sequela",,,Dermatology
"T2015XA Burn of first degree of scalp [any part], initial encounter",,,Dermatology
"T2015XD Burn of first degree of scalp [any part], subsequent encounter",,,Dermatology
"T2015XS Burn of first degree of scalp [any part], sequela",,,Dermatology
"T2016XA Burn of first degree of forehead and cheek, initial encounter",,,Dermatology
"T2016XD Burn of first degree of forehead and cheek, subsequent encounter",,,Dermatology
"T2016XS Burn of first degree of forehead and cheek, sequela",,,Dermatology
"T2017XA Burn of first degree of neck, initial encounter",,,Dermatology
"T2017XD Burn of first degree of neck, subsequent encounter",,,Dermatology
"T2017XS Burn of first degree of neck, sequela",,,Dermatology
"T2019XA Burn of first degree of multiple sites of head, face, and neck, initial encounter",,,Dermatology
"T2019XD Burn of first degree of multiple sites of head, face, and neck, subsequent encounter",,,Dermatology
"T2019XS Burn of first degree of multiple sites of head, face, and neck, sequela",,,Dermatology
"T2020XA Burn of second degree of head, face, and neck, unspecified site, initial encounter",,,Dermatology
"T2020XD Burn of second degree of head, face, and neck, unspecified site, subsequent encounter",,,Dermatology
"T2020XS Burn of second degree of head, face, and neck, unspecified site, sequela",,,Dermatology
"T2022XA Burn of second degree of lip(s), initial encounter",,,Dermatology
"T2022XD Burn of second degree of lip(s), subsequent encounter",,,Dermatology
"T2022XS Burn of second degree of lip(s), sequela",,,Dermatology
"T2023XA Burn of second degree of chin, initial encounter",,,Dermatology
"T2023XD Burn of second degree of chin, subsequent encounter",,,Dermatology
"T2023XS Burn of second degree of chin, sequela",,,Dermatology
"T2025XA Burn of second degree of scalp [any part], initial encounter",,,Dermatology
"T2025XD Burn of second degree of scalp [any part], subsequent encounter",,,Dermatology
"T2025XS Burn of second degree of scalp [any part], sequela",,,Dermatology
"T2026XA Burn of second degree of forehead and cheek, initial encounter",,,Dermatology
"T2026XD Burn of second degree of forehead and cheek, subsequent encounter",,,Dermatology
"T2026XS Burn of second degree of forehead and cheek, sequela",,,Dermatology
"T2027XA Burn of second degree of neck, initial encounter",,,Dermatology
"T2027XD Burn of second degree of neck, subsequent encounter",,,Dermatology
"T2027XS Burn of second degree of neck, sequela",,,Dermatology
"T2029XA Burn of second degree of multiple sites of head, face, and neck, initial encounter",,,Dermatology
"T2029XD Burn of second degree of multiple sites of head, face, and neck, subsequent encounter",,,Dermatology
"T2029XS Burn of second degree of multiple sites of head, face, and neck, sequela",,,Dermatology
"T2030XA Burn of third degree of head, face, and neck, unspecified site, initial encounter",,,Dermatology
"T2030XD Burn of third degree of head, face, and neck, unspecified site, subsequent encounter",,,Dermatology
"T2030XS Burn of third degree of head, face, and neck, unspecified site, sequela",,,Dermatology
"T2032XA Burn of third degree of lip(s), initial encounter",,,Dermatology
"T2032XD Burn of third degree of lip(s), subsequent encounter",,,Dermatology
"T2032XS Burn of third degree of lip(s), sequela",,,Dermatology
"T2033XA Burn of third degree of chin, initial encounter",,,Dermatology
"T2033XD Burn of third degree of chin, subsequent encounter",,,Dermatology
"T2033XS Burn of third degree of chin, sequela",,,Dermatology
"T2035XA Burn of third degree of scalp [any part], initial encounter",,,Dermatology
"T2035XD Burn of third degree of scalp [any part], subsequent encounter",,,Dermatology
"T2035XS Burn of third degree of scalp [any part], sequela",,,Dermatology
"T2036XA Burn of third degree of forehead and cheek, initial encounter",,,Dermatology
"T2036XD Burn of third degree of forehead and cheek, subsequent encounter",,,Dermatology
"T2036XS Burn of third degree of forehead and cheek, sequela",,,Dermatology
"T2037XA Burn of third degree of neck, initial encounter",,,Dermatology
"T2037XD Burn of third degree of neck, subsequent encounter",,,Dermatology
"T2037XS Burn of third degree of neck, sequela",,,Dermatology
"T2039XA Burn of third degree of multiple sites of head, face, and neck, initial encounter",,,Dermatology
"T2039XD Burn of third degree of multiple sites of head, face, and neck, subsequent encounter",,,Dermatology
"T2039XS Burn of third degree of multiple sites of head, face, and neck, sequela",,,Dermatology
"T2100XA Burn of unspecified degree of trunk, unspecified site, initial encounter",,,Dermatology
"T2100XD Burn of unspecified degree of trunk, unspecified site, subsequent encounter",,,Dermatology
"T2100XS Burn of unspecified degree of trunk, unspecified site, sequela",,,Dermatology
"T2101XA Burn of unspecified degree of chest wall, initial encounter",,,Dermatology
"T2101XD Burn of unspecified degree of chest wall, subsequent encounter",,,Dermatology
"T2101XS Burn of unspecified degree of chest wall, sequela",,,Dermatology
"T2102XA Burn of unspecified degree of abdominal wall, initial encounter",,,Dermatology
"T2102XD Burn of unspecified degree of abdominal wall, subsequent encounter",,,Dermatology
"T2102XS Burn of unspecified degree of abdominal wall, sequela",,,Dermatology
"T2103XA Burn of unspecified degree of upper back, initial encounter",,,Dermatology
"T2103XD Burn of unspecified degree of upper back, subsequent encounter",,,Dermatology
"T2103XS Burn of unspecified degree of upper back, sequela",,,Dermatology
"T2104XA Burn of unspecified degree of lower back, initial encounter",,,Dermatology
"T2104XD Burn of unspecified degree of lower back, subsequent encounter",,,Dermatology
"T2104XS Burn of unspecified degree of lower back, sequela",,,Dermatology
