Symptom,Body_System
acanthosis nigricans,Endocrine/Metabolic
easy bruising,Hematologic
excessive bleeding,Hematologic
lymphadenopathy,Hematologic
pallor,Hematologic
frequent infections,Hematologic
splenomegaly,Hematologic
insomnia,Psychiatric
hopelessness,Psychiatric
anxiety,Psychiatric
panic attacks,Psychiatric
auditory hallucinations,Psychiatric
visual hallucinations,Psychiatric
suicidal ideation,Psychiatric
irritability,Psychiatric
agitation,Psychiatric
loss of interest,Psychiatric
blurred vision,Ophthalmologic
eye pain,Ophthalmologic
red eye,Ophthalmologic
floaters,Ophthalmologic
photophobia,Ophthalmologic
vision loss,Ophthalmologic
double vision,Ophthalmologic
tearing,Ophthalmologic
dry eyes,Ophthalmologic
foreign body sensation,Ophthalmologic
hearing loss,Otolaryngologic
tinnitus,Otolaryngologic
ear pain,Otolaryngologic
epistaxis,Otolaryngologic
nasal obstruction,Otolaryngologic
hoarseness,Otolaryngologic
dysphonia,Otolaryngologic
odynophagia,Otolaryngologic
ear discharge,Otolaryngologic
smell disturbance,Otolaryngologic
fetal movement decreased,Obstetric
vaginal bleeding in pregnancy,Obstetric
contractions,Obstetric
leakage of fluid,Obstetric
postpartum hemorrhage,Obstetric
abnormal fetal heart rate,Obstetric
pre-eclampsia signs,Obstetric
labor pain,Obstetric
back pain in pregnancy,Obstetric
pelvic pressure,Obstetric
disordered eating,Behavioral
self-harm behavior,Behavioral
substance craving,Behavioral
withdrawal symptoms,Behavioral
social withdrawal,Behavioral
compulsive behaviors,Behavioral
impulsivity,Behavioral
aggression,Behavioral
poor concentration,Behavioral
risk taking behavior,Behavioral
acute fever,General
chronic fever,General
intermittent fever,General
recurrent fever,General
progressive fever,General
sudden onset fever,General
gradual onset fever,General
severe fever,General
mild fever,General
moderate fever,General
left-sided fever,General
right-sided fever,General
bilateral fever,General
worse with exertion fever,General
worse at night fever,General
improved with rest fever,General
acute malaise,General
chronic malaise,General
intermittent malaise,General
recurrent malaise,General
progressive malaise,General
sudden onset malaise,General
gradual onset malaise,General
severe malaise,General
mild malaise,General
moderate malaise,General
left-sided malaise,General
right-sided malaise,General
bilateral malaise,General
worse with exertion malaise,General
worse at night malaise,General
improved with rest malaise,General
acute fatigue,General
chronic fatigue,General
intermittent fatigue,General
recurrent fatigue,General
progressive fatigue,General
sudden onset fatigue,General
gradual onset fatigue,General
severe fatigue,General
mild fatigue,General
moderate fatigue,General
left-sided fatigue,General
right-sided fatigue,General
bilateral fatigue,General
worse with exertion fatigue,General
worse at night fatigue,General
improved with rest fatigue,General
acute weight loss,General
chronic weight loss,General
intermittent weight loss,General
recurrent weight loss,General
progressive weight loss,General
sudden onset weight loss,General
gradual onset weight loss,General
severe weight loss,General
mild weight loss,General
moderate weight loss,General
left-sided weight loss,General
right-sided weight loss,General
bilateral weight loss,General
worse with exertion weight loss,General
worse at night weight loss,General
improved with rest weight loss,General
acute chills,General
chronic chills,General
intermittent chills,General
recurrent chills,General
progressive chills,General
sudden onset chills,General
gradual onset chills,General
severe chills,General
mild chills,General
moderate chills,General
left-sided chills,General
right-sided chills,General
bilateral chills,General
worse with exertion chills,General
worse at night chills,General
improved with rest chills,General
acute night sweats,General
chronic night sweats,General
intermittent night sweats,General
recurrent night sweats,General
progressive night sweats,General
sudden onset night sweats,General
gradual onset night sweats,General
severe night sweats,General
mild night sweats,General
moderate night sweats,General
left-sided night sweats,General
right-sided night sweats,General
bilateral night sweats,General
worse with exertion night sweats,General
worse at night night sweats,General
improved with rest night sweats,General
weakness (upper body),General
weakness (lower body),General
weakness (left body),General
weakness (right body),General
weakness (central body),General
weakness (peripheral body),General
acute weakness,General
acute weakness (upper body),General
acute weakness (lower body),General
acute weakness (left body),General
acute weakness (right body),General
acute weakness (central body),General
acute weakness (peripheral body),General
chronic weakness,General
chronic weakness (upper body),General
chronic weakness (lower body),General
chronic weakness (left body),General
chronic weakness (right body),General
chronic weakness (central body),General
chronic weakness (peripheral body),General
intermittent weakness,General
intermittent weakness (upper body),General
intermittent weakness (lower body),General
intermittent weakness (left body),General
intermittent weakness (right body),General
intermittent weakness (central body),General
intermittent weakness (peripheral body),General
recurrent weakness,General
recurrent weakness (upper body),General
recurrent weakness (lower body),General
recurrent weakness (left body),General
recurrent weakness (right body),General
recurrent weakness (central body),General
recurrent weakness (peripheral body),General
progressive weakness,General
progressive weakness (upper body),General
progressive weakness (lower body),General
progressive weakness (left body),General
progressive weakness (right body),General
progressive weakness (central body),General
progressive weakness (peripheral body),General
sudden onset weakness,General
sudden onset weakness (upper body),General
sudden onset weakness (lower body),General
sudden onset weakness (left body),General
sudden onset weakness (right body),General
sudden onset weakness (central body),General
sudden onset weakness (peripheral body),General
gradual onset weakness,General
gradual onset weakness (upper body),General
gradual onset weakness (lower body),General
gradual onset weakness (left body),General
gradual onset weakness (right body),General
gradual onset weakness (central body),General
gradual onset weakness (peripheral body),General
severe weakness,General
severe weakness (upper body),General
severe weakness (lower body),General
severe weakness (left body),General
severe weakness (right body),General
severe weakness (central body),General
severe weakness (peripheral body),General
mild weakness,General
mild weakness (upper body),General
mild weakness (lower body),General
mild weakness (left body),General
mild weakness (right body),General
mild weakness (central body),General
mild weakness (peripheral body),General
moderate weakness,General
moderate weakness (upper body),General
moderate weakness (lower body),General
moderate weakness (left body),General
moderate weakness (right body),General
moderate weakness (central body),General
moderate weakness (peripheral body),General
left-sided weakness,General
left-sided weakness (upper body),General
left-sided weakness (lower body),General
left-sided weakness (left body),General
left-sided weakness (right body),General
left-sided weakness (central body),General
left-sided weakness (peripheral body),General
right-sided weakness,General
right-sided weakness (upper body),General
right-sided weakness (lower body),General
right-sided weakness (left body),General
right-sided weakness (right body),General
right-sided weakness (central body),General
right-sided weakness (peripheral body),General
bilateral weakness,General
bilateral weakness (upper body),General
bilateral weakness (lower body),General
bilateral weakness (left body),General
bilateral weakness (right body),General
bilateral weakness (central body),General
bilateral weakness (peripheral body),General
worse with exertion weakness,General
worse with exertion weakness (upper body),General
worse with exertion weakness (lower body),General
worse with exertion weakness (left body),General
worse with exertion weakness (right body),General
worse with exertion weakness (central body),General
worse with exertion weakness (peripheral body),General
worse at night weakness,General
worse at night weakness (upper body),General
worse at night weakness (lower body),General
worse at night weakness (left body),General
worse at night weakness (right body),General
worse at night weakness (central body),General
worse at night weakness (peripheral body),General
improved with rest weakness,General
improved with rest weakness (upper body),General
improved with rest weakness (lower body),General
improved with rest weakness (left body),General
improved with rest weakness (right body),General
improved with rest weakness (central body),General
improved with rest weakness (peripheral body),General
acute dehydration,General
chronic dehydration,General
intermittent dehydration,General
recurrent dehydration,General
progressive dehydration,General
sudden onset dehydration,General
gradual onset dehydration,General
severe dehydration,General
mild dehydration,General
moderate dehydration,General
left-sided dehydration,General
right-sided dehydration,General
bilateral dehydration,General
worse with exertion dehydration,General
worse at night dehydration,General
improved with rest dehydration,General
acute poor appetite,General
chronic poor appetite,General
intermittent poor appetite,General
recurrent poor appetite,General
progressive poor appetite,General
sudden onset poor appetite,General
gradual onset poor appetite,General
severe poor appetite,General
mild poor appetite,General
moderate poor appetite,General
left-sided poor appetite,General
right-sided poor appetite,General
bilateral poor appetite,General
worse with exertion poor appetite,General
worse at night poor appetite,General
improved with rest poor appetite,General
acute increased thirst,General
chronic increased thirst,General
intermittent increased thirst,General
recurrent increased thirst,General
progressive increased thirst,General
sudden onset increased thirst,General
gradual onset increased thirst,General
severe increased thirst,General
mild increased thirst,General
moderate increased thirst,General
left-sided increased thirst,General
right-sided increased thirst,General
bilateral increased thirst,General
worse with exertion increased thirst,General
worse at night increased thirst,General
improved with rest increased thirst,General
acute cough,Respiratory
chronic cough,Respiratory
intermittent cough,Respiratory
recurrent cough,Respiratory
progressive cough,Respiratory
sudden onset cough,Respiratory
gradual onset cough,Respiratory
severe cough,Respiratory
mild cough,Respiratory
moderate cough,Respiratory
left-sided cough,Respiratory
right-sided cough,Respiratory
bilateral cough,Respiratory
worse with exertion cough,Respiratory
worse at night cough,Respiratory
improved with rest cough,Respiratory
acute shortness of breath,Respiratory
chronic shortness of breath,Respiratory
intermittent shortness of breath,Respiratory
recurrent shortness of breath,Respiratory
progressive shortness of breath,Respiratory
sudden onset shortness of breath,Respiratory
gradual onset shortness of breath,Respiratory
severe shortness of breath,Respiratory
mild shortness of breath,Respiratory
moderate shortness of breath,Respiratory
left-sided shortness of breath,Respiratory
right-sided shortness of breath,Respiratory
bilateral shortness of breath,Respiratory
worse with exertion shortness of breath,Respiratory
worse at night shortness of breath,Respiratory
improved with rest shortness of breath,Respiratory
acute wheezing,Respiratory
chronic wheezing,Respiratory
intermittent wheezing,Respiratory
recurrent wheezing,Respiratory
progressive wheezing,Respiratory
sudden onset wheezing,Respiratory
gradual onset wheezing,Respiratory
severe wheezing,Respiratory
mild wheezing,Respiratory
moderate wheezing,Respiratory
left-sided wheezing,Respiratory
right-sided wheezing,Respiratory
bilateral wheezing,Respiratory
worse with exertion wheezing,Respiratory
worse at night wheezing,Respiratory
improved with rest wheezing,Respiratory
acute sputum production,Respiratory
chronic sputum production,Respiratory
intermittent sputum production,Respiratory
recurrent sputum production,Respiratory
progressive sputum production,Respiratory
sudden onset sputum production,Respiratory
gradual onset sputum production,Respiratory
severe sputum production,Respiratory
mild sputum production,Respiratory
moderate sputum production,Respiratory
left-sided sputum production,Respiratory
right-sided sputum production,Respiratory
bilateral sputum production,Respiratory
worse with exertion sputum production,Respiratory
worse at night sputum production,Respiratory
improved with rest sputum production,Respiratory
acute hemoptysis,Respiratory
chronic hemoptysis,Respiratory
intermittent hemoptysis,Respiratory
recurrent hemoptysis,Respiratory
progressive hemoptysis,Respiratory
sudden onset hemoptysis,Respiratory
gradual onset hemoptysis,Respiratory
severe hemoptysis,Respiratory
mild hemoptysis,Respiratory
moderate hemoptysis,Respiratory
left-sided hemoptysis,Respiratory
right-sided hemoptysis,Respiratory
bilateral hemoptysis,Respiratory
worse with exertion hemoptysis,Respiratory
worse at night hemoptysis,Respiratory
improved with rest hemoptysis,Respiratory
acute sore throat,Respiratory
chronic sore throat,Respiratory
intermittent sore throat,Respiratory
recurrent sore throat,Respiratory
progressive sore throat,Respiratory
sudden onset sore throat,Respiratory
gradual onset sore throat,Respiratory
severe sore throat,Respiratory
mild sore throat,Respiratory
moderate sore throat,Respiratory
left-sided sore throat,Respiratory
right-sided sore throat,Respiratory
bilateral sore throat,Respiratory
worse with exertion sore throat,Respiratory
worse at night sore throat,Respiratory
improved with rest sore throat,Respiratory
acute stridor,Respiratory
chronic stridor,Respiratory
intermittent stridor,Respiratory
recurrent stridor,Respiratory
progressive stridor,Respiratory
sudden onset stridor,Respiratory
gradual onset stridor,Respiratory
severe stridor,Respiratory
mild stridor,Respiratory
moderate stridor,Respiratory
left-sided stridor,Respiratory
right-sided stridor,Respiratory
bilateral stridor,Respiratory
worse with exertion stridor,Respiratory
worse at night stridor,Respiratory
improved with rest stridor,Respiratory
acute nasal congestion,Respiratory
chronic nasal congestion,Respiratory
intermittent nasal congestion,Respiratory
recurrent nasal congestion,Respiratory
progressive nasal congestion,Respiratory
sudden onset nasal congestion,Respiratory
gradual onset nasal congestion,Respiratory
severe nasal congestion,Respiratory
mild nasal congestion,Respiratory
moderate nasal congestion,Respiratory
left-sided nasal congestion,Respiratory
right-sided nasal congestion,Respiratory
bilateral nasal congestion,Respiratory
worse with exertion nasal congestion,Respiratory
worse at night nasal congestion,Respiratory
improved with rest nasal congestion,Respiratory
acute runny nose,Respiratory
chronic runny nose,Respiratory
intermittent runny nose,Respiratory
recurrent runny nose,Respiratory
progressive runny nose,Respiratory
sudden onset runny nose,Respiratory
gradual onset runny nose,Respiratory
severe runny nose,Respiratory
mild runny nose,Respiratory
moderate runny nose,Respiratory
left-sided runny nose,Respiratory
right-sided runny nose,Respiratory
bilateral runny nose,Respiratory
worse with exertion runny nose,Respiratory
worse at night runny nose,Respiratory
improved with rest runny nose,Respiratory
acute postnasal drip,Respiratory
chronic postnasal drip,Respiratory
intermittent postnasal drip,Respiratory
recurrent postnasal drip,Respiratory
progressive postnasal drip,Respiratory
sudden onset postnasal drip,Respiratory
gradual onset postnasal drip,Respiratory
severe postnasal drip,Respiratory
mild postnasal drip,Respiratory
moderate postnasal drip,Respiratory
left-sided postnasal drip,Respiratory
right-sided postnasal drip,Respiratory
bilateral postnasal drip,Respiratory
worse with exertion postnasal drip,Respiratory
worse at night postnasal drip,Respiratory
improved with rest postnasal drip,Respiratory
chest pain (upper body),Cardiovascular
chest pain (lower body),Cardiovascular
chest pain (left body),Cardiovascular
chest pain (right body),Cardiovascular
chest pain (central body),Cardiovascular
chest pain (peripheral body),Cardiovascular
acute chest pain,Cardiovascular
acute chest pain (upper body),Cardiovascular
acute chest pain (lower body),Cardiovascular
acute chest pain (left body),Cardiovascular
acute chest pain (right body),Cardiovascular
acute chest pain (central body),Cardiovascular
acute chest pain (peripheral body),Cardiovascular
chronic chest pain,Cardiovascular
chronic chest pain (upper body),Cardiovascular
chronic chest pain (lower body),Cardiovascular
chronic chest pain (left body),Cardiovascular
chronic chest pain (right body),Cardiovascular
chronic chest pain (central body),Cardiovascular
chronic chest pain (peripheral body),Cardiovascular
intermittent chest pain,Cardiovascular
intermittent chest pain (upper body),Cardiovascular
intermittent chest pain (lower body),Cardiovascular
intermittent chest pain (left body),Cardiovascular
intermittent chest pain (right body),Cardiovascular
intermittent chest pain (central body),Cardiovascular
intermittent chest pain (peripheral body),Cardiovascular
recurrent chest pain,Cardiovascular
recurrent chest pain (upper body),Cardiovascular
recurrent chest pain (lower body),Cardiovascular
recurrent chest pain (left body),Cardiovascular
recurrent chest pain (right body),Cardiovascular
recurrent chest pain (central body),Cardiovascular
recurrent chest pain (peripheral body),Cardiovascular
progressive chest pain,Cardiovascular
progressive chest pain (upper body),Cardiovascular
progressive chest pain (lower body),Cardiovascular
progressive chest pain (left body),Cardiovascular
progressive chest pain (right body),Cardiovascular
progressive chest pain (central body),Cardiovascular
progressive chest pain (peripheral body),Cardiovascular
sudden onset chest pain,Cardiovascular
sudden onset chest pain (upper body),Cardiovascular
sudden onset chest pain (lower body),Cardiovascular
sudden onset chest pain (left body),Cardiovascular
sudden onset chest pain (right body),Cardiovascular
sudden onset chest pain (central body),Cardiovascular
sudden onset chest pain (peripheral body),Cardiovascular
gradual onset chest pain,Cardiovascular
gradual onset chest pain (upper body),Cardiovascular
gradual onset chest pain (lower body),Cardiovascular
gradual onset chest pain (left body),Cardiovascular
gradual onset chest pain (right body),Cardiovascular
gradual onset chest pain (central body),Cardiovascular
gradual onset chest pain (peripheral body),Cardiovascular
severe chest pain,Cardiovascular
severe chest pain (upper body),Cardiovascular
severe chest pain (lower body),Cardiovascular
severe chest pain (left body),Cardiovascular
severe chest pain (right body),Cardiovascular
severe chest pain (central body),Cardiovascular
severe chest pain (peripheral body),Cardiovascular
mild chest pain,Cardiovascular
mild chest pain (upper body),Cardiovascular
mild chest pain (lower body),Cardiovascular
mild chest pain (left body),Cardiovascular
mild chest pain (right body),Cardiovascular
mild chest pain (central body),Cardiovascular
mild chest pain (peripheral body),Cardiovascular
moderate chest pain,Cardiovascular
moderate chest pain (upper body),Cardiovascular
moderate chest pain (lower body),Cardiovascular
moderate chest pain (left body),Cardiovascular
moderate chest pain (right body),Cardiovascular
moderate chest pain (central body),Cardiovascular
moderate chest pain (peripheral body),Cardiovascular
left-sided chest pain,Cardiovascular
left-sided chest pain (upper body),Cardiovascular
left-sided chest pain (lower body),Cardiovascular
left-sided chest pain (left body),Cardiovascular
left-sided chest pain (right body),Cardiovascular
left-sided chest pain (central body),Cardiovascular
left-sided chest pain (peripheral body),Cardiovascular
right-sided chest pain,Cardiovascular
right-sided chest pain (upper body),Cardiovascular
right-sided chest pain (lower body),Cardiovascular
right-sided chest pain (left body),Cardiovascular
right-sided chest pain (right body),Cardiovascular
right-sided chest pain (central body),Cardiovascular
right-sided chest pain (peripheral body),Cardiovascular
bilateral chest pain,Cardiovascular
bilateral chest pain (upper body),Cardiovascular
bilateral chest pain (lower body),Cardiovascular
bilateral chest pain (left body),Cardiovascular
bilateral chest pain (right body),Cardiovascular
bilateral chest pain (central body),Cardiovascular
bilateral chest pain (peripheral body),Cardiovascular
worse with exertion chest pain,Cardiovascular
worse with exertion chest pain (upper body),Cardiovascular
worse with exertion chest pain (lower body),Cardiovascular
worse with exertion chest pain (left body),Cardiovascular
worse with exertion chest pain (right body),Cardiovascular
worse with exertion chest pain (central body),Cardiovascular
worse with exertion chest pain (peripheral body),Cardiovascular
worse at night chest pain,Cardiovascular
worse at night chest pain (upper body),Cardiovascular
worse at night chest pain (lower body),Cardiovascular
worse at night chest pain (left body),Cardiovascular
worse at night chest pain (right body),Cardiovascular
worse at night chest pain (central body),Cardiovascular
worse at night chest pain (peripheral body),Cardiovascular
improved with rest chest pain,Cardiovascular
improved with rest chest pain (upper body),Cardiovascular
improved with rest chest pain (lower body),Cardiovascular
improved with rest chest pain (left body),Cardiovascular
improved with rest chest pain (right body),Cardiovascular
improved with rest chest pain (central body),Cardiovascular
improved with rest chest pain (peripheral body),Cardiovascular
acute palpitations,Cardiovascular
chronic palpitations,Cardiovascular
intermittent palpitations,Cardiovascular
recurrent palpitations,Cardiovascular
progressive palpitations,Cardiovascular
sudden onset palpitations,Cardiovascular
gradual onset palpitations,Cardiovascular
severe palpitations,Cardiovascular
mild palpitations,Cardiovascular
moderate palpitations,Cardiovascular
left-sided palpitations,Cardiovascular
right-sided palpitations,Cardiovascular
bilateral palpitations,Cardiovascular
worse with exertion palpitations,Cardiovascular
worse at night palpitations,Cardiovascular
improved with rest palpitations,Cardiovascular
acute edema,Cardiovascular
chronic edema,Cardiovascular
intermittent edema,Cardiovascular
recurrent edema,Cardiovascular
progressive edema,Cardiovascular
sudden onset edema,Cardiovascular
gradual onset edema,Cardiovascular
severe edema,Cardiovascular
mild edema,Cardiovascular
moderate edema,Cardiovascular
left-sided edema,Cardiovascular
right-sided edema,Cardiovascular
bilateral edema,Cardiovascular
worse with exertion edema,Cardiovascular
worse at night edema,Cardiovascular
improved with rest edema,Cardiovascular
acute lightheadedness,Cardiovascular
chronic lightheadedness,Cardiovascular
intermittent lightheadedness,Cardiovascular
recurrent lightheadedness,Cardiovascular
progressive lightheadedness,Cardiovascular
sudden onset lightheadedness,Cardiovascular
gradual onset lightheadedness,Cardiovascular
severe lightheadedness,Cardiovascular
mild lightheadedness,Cardiovascular
moderate lightheadedness,Cardiovascular
left-sided lightheadedness,Cardiovascular
right-sided lightheadedness,Cardiovascular
bilateral lightheadedness,Cardiovascular
worse with exertion lightheadedness,Cardiovascular
worse at night lightheadedness,Cardiovascular
improved with rest lightheadedness,Cardiovascular
acute clubbing,Cardiovascular
chronic clubbing,Cardiovascular
intermittent clubbing,Cardiovascular
recurrent clubbing,Cardiovascular
progressive clubbing,Cardiovascular
sudden onset clubbing,Cardiovascular
gradual onset clubbing,Cardiovascular
severe clubbing,Cardiovascular
mild clubbing,Cardiovascular
moderate clubbing,Cardiovascular
left-sided clubbing,Cardiovascular
right-sided clubbing,Cardiovascular
bilateral clubbing,Cardiovascular
worse with exertion clubbing,Cardiovascular
worse at night clubbing,Cardiovascular
improved with rest clubbing,Cardiovascular
acute intermittent claudication,Cardiovascular
chronic intermittent claudication,Cardiovascular
intermittent intermittent claudication,Cardiovascular
recurrent intermittent claudication,Cardiovascular
progressive intermittent claudication,Cardiovascular
sudden onset intermittent claudication,Cardiovascular
gradual onset intermittent claudication,Cardiovascular
severe intermittent claudication,Cardiovascular
mild intermittent claudication,Cardiovascular
moderate intermittent claudication,Cardiovascular
left-sided intermittent claudication,Cardiovascular
right-sided intermittent claudication,Cardiovascular
bilateral intermittent claudication,Cardiovascular
worse with exertion intermittent claudication,Cardiovascular
worse at night intermittent claudication,Cardiovascular
improved with rest intermittent claudication,Cardiovascular
acute syncope,Cardiovascular
chronic syncope,Cardiovascular
intermittent syncope,Cardiovascular
recurrent syncope,Cardiovascular
progressive syncope,Cardiovascular
sudden onset syncope,Cardiovascular
gradual onset syncope,Cardiovascular
severe syncope,Cardiovascular
mild syncope,Cardiovascular
moderate syncope,Cardiovascular
left-sided syncope,Cardiovascular
right-sided syncope,Cardiovascular
bilateral syncope,Cardiovascular
worse with exertion syncope,Cardiovascular
worse at night syncope,Cardiovascular
improved with rest syncope,Cardiovascular
acute orthopnea,Cardiovascular
chronic orthopnea,Cardiovascular
intermittent orthopnea,Cardiovascular
recurrent orthopnea,Cardiovascular
progressive orthopnea,Cardiovascular
sudden onset orthopnea,Cardiovascular
gradual onset orthopnea,Cardiovascular
severe orthopnea,Cardiovascular
mild orthopnea,Cardiovascular
moderate orthopnea,Cardiovascular
left-sided orthopnea,Cardiovascular
right-sided orthopnea,Cardiovascular
bilateral orthopnea,Cardiovascular
worse with exertion orthopnea,Cardiovascular
worse at night orthopnea,Cardiovascular
improved with rest orthopnea,Cardiovascular
acute paroxysmal nocturnal dyspnea,Cardiovascular
chronic paroxysmal nocturnal dyspnea,Cardiovascular
intermittent paroxysmal nocturnal dyspnea,Cardiovascular
recurrent paroxysmal nocturnal dyspnea,Cardiovascular
progressive paroxysmal nocturnal dyspnea,Cardiovascular
sudden onset paroxysmal nocturnal dyspnea,Cardiovascular
gradual onset paroxysmal nocturnal dyspnea,Cardiovascular
severe paroxysmal nocturnal dyspnea,Cardiovascular
mild paroxysmal nocturnal dyspnea,Cardiovascular
moderate paroxysmal nocturnal dyspnea,Cardiovascular
left-sided paroxysmal nocturnal dyspnea,Cardiovascular
right-sided paroxysmal nocturnal dyspnea,Cardiovascular
bilateral paroxysmal nocturnal dyspnea,Cardiovascular
worse with exertion paroxysmal nocturnal dyspnea,Cardiovascular
worse at night paroxysmal nocturnal dyspnea,Cardiovascular
improved with rest paroxysmal nocturnal dyspnea,Cardiovascular
abdominal pain (upper body),Gastrointestinal
abdominal pain (lower body),Gastrointestinal
abdominal pain (left body),Gastrointestinal
abdominal pain (right body),Gastrointestinal
abdominal pain (central body),Gastrointestinal
abdominal pain (peripheral body),Gastrointestinal
acute abdominal pain,Gastrointestinal
acute abdominal pain (upper body),Gastrointestinal
acute abdominal pain (lower body),Gastrointestinal
acute abdominal pain (left body),Gastrointestinal
acute abdominal pain (right body),Gastrointestinal
acute abdominal pain (central body),Gastrointestinal
acute abdominal pain (peripheral body),Gastrointestinal
chronic abdominal pain,Gastrointestinal
chronic abdominal pain (upper body),Gastrointestinal
chronic abdominal pain (lower body),Gastrointestinal
chronic abdominal pain (left body),Gastrointestinal
chronic abdominal pain (right body),Gastrointestinal
chronic abdominal pain (central body),Gastrointestinal
chronic abdominal pain (peripheral body),Gastrointestinal
intermittent abdominal pain,Gastrointestinal
intermittent abdominal pain (upper body),Gastrointestinal
intermittent abdominal pain (lower body),Gastrointestinal
intermittent abdominal pain (left body),Gastrointestinal
intermittent abdominal pain (right body),Gastrointestinal
intermittent abdominal pain (central body),Gastrointestinal
intermittent abdominal pain (peripheral body),Gastrointestinal
recurrent abdominal pain,Gastrointestinal
recurrent abdominal pain (upper body),Gastrointestinal
recurrent abdominal pain (lower body),Gastrointestinal
recurrent abdominal pain (left body),Gastrointestinal
recurrent abdominal pain (right body),Gastrointestinal
recurrent abdominal pain (central body),Gastrointestinal
recurrent abdominal pain (peripheral body),Gastrointestinal
progressive abdominal pain,Gastrointestinal
progressive abdominal pain (upper body),Gastrointestinal
progressive abdominal pain (lower body),Gastrointestinal
progressive abdominal pain (left body),Gastrointestinal
progressive abdominal pain (right body),Gastrointestinal
progressive abdominal pain (central body),Gastrointestinal
progressive abdominal pain (peripheral body),Gastrointestinal
sudden onset abdominal pain,Gastrointestinal
sudden onset abdominal pain (upper body),Gastrointestinal
sudden onset abdominal pain (lower body),Gastrointestinal
sudden onset abdominal pain (left body),Gastrointestinal
sudden onset abdominal pain (right body),Gastrointestinal
sudden onset abdominal pain (central body),Gastrointestinal
sudden onset abdominal pain (peripheral body),Gastrointestinal
gradual onset abdominal pain,Gastrointestinal
gradual onset abdominal pain (upper body),Gastrointestinal
gradual onset abdominal pain (lower body),Gastrointestinal
gradual onset abdominal pain (left body),Gastrointestinal
gradual onset abdominal pain (right body),Gastrointestinal
gradual onset abdominal pain (central body),Gastrointestinal
gradual onset abdominal pain (peripheral body),Gastrointestinal
severe abdominal pain,Gastrointestinal
severe abdominal pain (upper body),Gastrointestinal
severe abdominal pain (lower body),Gastrointestinal
severe abdominal pain (left body),Gastrointestinal
severe abdominal pain (right body),Gastrointestinal
severe abdominal pain (central body),Gastrointestinal
severe abdominal pain (peripheral body),Gastrointestinal
mild abdominal pain,Gastrointestinal
mild abdominal pain (upper body),Gastrointestinal
mild abdominal pain (lower body),Gastrointestinal
mild abdominal pain (left body),Gastrointestinal
mild abdominal pain (right body),Gastrointestinal
mild abdominal pain (central body),Gastrointestinal
mild abdominal pain (peripheral body),Gastrointestinal
moderate abdominal pain,Gastrointestinal
moderate abdominal pain (upper body),Gastrointestinal
moderate abdominal pain (lower body),Gastrointestinal
moderate abdominal pain (left body),Gastrointestinal
moderate abdominal pain (right body),Gastrointestinal
moderate abdominal pain (central body),Gastrointestinal
moderate abdominal pain (peripheral body),Gastrointestinal
left-sided abdominal pain,Gastrointestinal
left-sided abdominal pain (upper body),Gastrointestinal
left-sided abdominal pain (lower body),Gastrointestinal
left-sided abdominal pain (left body),Gastrointestinal
left-sided abdominal pain (right body),Gastrointestinal
left-sided abdominal pain (central body),Gastrointestinal
left-sided abdominal pain (peripheral body),Gastrointestinal
right-sided abdominal pain,Gastrointestinal
