Diagnosis,Symptoms,MEDICATION,Specialty
C4082   Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,,,Orthopedics
"C414    Malignant neoplasm of pelvic bones, sacrum and coccyx",,,Gynecology
"C419    Malignant neoplasm of bone and articular cartilage, unspecified",,,Orthopedics
C4320   Malignant melanoma of unspecified ear and external auricular canal,,,ENT
C4321   Malignant melanoma of right ear and external auricular canal,,,ENT
C4322   Malignant melanoma of left ear and external auricular canal,,,ENT
C4331   Malignant melanoma of nose,,,ENT
C4351   Malignant melanoma of anal skin,,,Dermatology
C4352   Malignant melanoma of skin of breast,,,Gynecology
C438    Malignant melanoma of overlapping sites of skin,,,Dermatology
"C439    Malignant melanoma of skin, unspecified",,,Dermatology
C4A20   Merkel cell carcinoma of unspecified ear and external auricular canal,,,ENT
C4A21   Merkel cell carcinoma of right ear and external auricular canal,,,ENT
C4A22   Merkel cell carcinoma of left ear and external auricular canal,,,ENT
C4A31   Merkel cell carcinoma of nose,,,ENT
C4A51   Merkel cell carcinoma of anal skin,,,Dermatology
C4A52   Merkel cell carcinoma of skin of breast,,,Gynecology
C4400   Unspecified malignant neoplasm of skin of lip,,,Dermatology
C4401   Basal cell carcinoma of skin of lip,,,Dermatology
C4402   Squamous cell carcinoma of skin of lip,,,Dermatology
C4409   Other specified malignant neoplasm of skin of lip,,,Dermatology
"C44101  Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",,,Dermatology
"C44102  Unspecified malignant neoplasm of skin of right eyelid, including canthus",,,Dermatology
"C44109  Unspecified malignant neoplasm of skin of left eyelid, including canthus",,,Dermatology
"C44111  Basal cell carcinoma of skin of unspecified eyelid, including canthus",,,Dermatology
"C44112  Basal cell carcinoma of skin of right eyelid, including canthus",,,Dermatology
"C44119  Basal cell carcinoma of skin of left eyelid, including canthus",,,Dermatology
"C44121  Squamous cell carcinoma of skin of unspecified eyelid, including canthus",,,Dermatology
"C44122  Squamous cell carcinoma of skin of right eyelid, including canthus",,,Dermatology
"C44129  Squamous cell carcinoma of skin of left eyelid, including canthus",,,Dermatology
"C44191  Other specified malignant neoplasm of skin of unspecified eyelid, including canthus",,,Dermatology
"C44192  Other specified malignant neoplasm of skin of right eyelid, including canthus",,,Dermatology
"C44199  Other specified malignant neoplasm of skin of left eyelid, including canthus",,,Dermatology
C44201  Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,,,ENT
C44202  Unspecified malignant neoplasm of skin of right ear and external auricular canal,,,ENT
C44209  Unspecified malignant neoplasm of skin of left ear and external auricular canal,,,ENT
C44211  Basal cell carcinoma of skin of unspecified ear and external auricular canal,,,ENT
C44212  Basal cell carcinoma of skin of right ear and external auricular canal,,,ENT
C44219  Basal cell carcinoma of skin of left ear and external auricular canal,,,ENT
C44221  Squamous cell carcinoma of skin of unspecified ear and external auricular canal,,,ENT
C44222  Squamous cell carcinoma of skin of right ear and external auricular canal,,,ENT
C44229  Squamous cell carcinoma of skin of left ear and external auricular canal,,,ENT
C44291  Other specified malignant neoplasm of skin of unspecified ear and external auricular canal,,,ENT
C44292  Other specified malignant neoplasm of skin of right ear and external auricular canal,,,ENT
C44299  Other specified malignant neoplasm of skin of left ear and external auricular canal,,,ENT
C44300  Unspecified malignant neoplasm of skin of unspecified part of face,,,Dermatology
C44301  Unspecified malignant neoplasm of skin of nose,,,ENT
C44309  Unspecified malignant neoplasm of skin of other parts of face,,,Dermatology
C44310  Basal cell carcinoma of skin of unspecified parts of face,,,Dermatology
C44311  Basal cell carcinoma of skin of nose,,,ENT
C44319  Basal cell carcinoma of skin of other parts of face,,,Dermatology
C44320  Squamous cell carcinoma of skin of unspecified parts of face,,,Dermatology
C44321  Squamous cell carcinoma of skin of nose,,,ENT
C44329  Squamous cell carcinoma of skin of other parts of face,,,Dermatology
C44390  Other specified malignant neoplasm of skin of unspecified parts of face,,,Dermatology
C44391  Other specified malignant neoplasm of skin of nose,,,ENT
C44399  Other specified malignant neoplasm of skin of other parts of face,,,Dermatology
C4440   Unspecified malignant neoplasm of skin of scalp and neck,,,Dermatology
C4441   Basal cell carcinoma of skin of scalp and neck,,,Dermatology
C4442   Squamous cell carcinoma of skin of scalp and neck,,,Dermatology
C4449   Other specified malignant neoplasm of skin of scalp and neck,,,Dermatology
C44500  Unspecified malignant neoplasm of anal skin,,,Dermatology
C44501  Unspecified malignant neoplasm of skin of breast,,,Gynecology
C44509  Unspecified malignant neoplasm of skin of other part of trunk,,,Dermatology
C44510  Basal cell carcinoma of anal skin,,,Dermatology
C44511  Basal cell carcinoma of skin of breast,,,Gynecology
C44519  Basal cell carcinoma of skin of other part of trunk,,,Dermatology
C44520  Squamous cell carcinoma of anal skin,,,Dermatology
C44521  Squamous cell carcinoma of skin of breast,,,Gynecology
C44529  Squamous cell carcinoma of skin of other part of trunk,,,Dermatology
C44590  Other specified malignant neoplasm of anal skin,,,Dermatology
C44591  Other specified malignant neoplasm of skin of breast,,,Gynecology
C44599  Other specified malignant neoplasm of skin of other part of trunk,,,Dermatology
"C44601  Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",,,Dermatology
"C44602  Unspecified malignant neoplasm of skin of right upper limb, including shoulder",,,Dermatology
"C44609  Unspecified malignant neoplasm of skin of left upper limb, including shoulder",,,Dermatology
"C44611  Basal cell carcinoma of skin of unspecified upper limb, including shoulder",,,Dermatology
"C44612  Basal cell carcinoma of skin of right upper limb, including shoulder",,,Dermatology
"C44619  Basal cell carcinoma of skin of left upper limb, including shoulder",,,Dermatology
"C44621  Squamous cell carcinoma of skin of unspecified upper limb, including shoulder",,,Dermatology
"C44622  Squamous cell carcinoma of skin of right upper limb, including shoulder",,,Dermatology
"C44629  Squamous cell carcinoma of skin of left upper limb, including shoulder",,,Dermatology
"C44691  Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",,,Dermatology
"C44692  Other specified malignant neoplasm of skin of right upper limb, including shoulder",,,Dermatology
"C44699  Other specified malignant neoplasm of skin of left upper limb, including shoulder",,,Dermatology
"C44701  Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",,,Dermatology
"C44702  Unspecified malignant neoplasm of skin of right lower limb, including hip",,,Dermatology
"C44709  Unspecified malignant neoplasm of skin of left lower limb, including hip",,,Dermatology
"C44711  Basal cell carcinoma of skin of unspecified lower limb, including hip",,,Dermatology
"C44712  Basal cell carcinoma of skin of right lower limb, including hip",,,Dermatology
"C44719  Basal cell carcinoma of skin of left lower limb, including hip",,,Dermatology
"C44721  Squamous cell carcinoma of skin of unspecified lower limb, including hip",,,Dermatology
"C44722  Squamous cell carcinoma of skin of right lower limb, including hip",,,Dermatology
"C44729  Squamous cell carcinoma of skin of left lower limb, including hip",,,Dermatology
"C44791  Other specified malignant neoplasm of skin of unspecified lower limb, including hip",,,Dermatology
"C44792  Other specified malignant neoplasm of skin of right lower limb, including hip",,,Dermatology
"C44799  Other specified malignant neoplasm of skin of left lower limb, including hip",,,Dermatology
C4480   Unspecified malignant neoplasm of overlapping sites of skin,,,Dermatology
C4481   Basal cell carcinoma of overlapping sites of skin,,,Dermatology
C4482   Squamous cell carcinoma of overlapping sites of skin,,,Dermatology
C4489   Other specified malignant neoplasm of overlapping sites of skin,,,Dermatology
"C4490   Unspecified malignant neoplasm of skin, unspecified",,,Dermatology
"C4491   Basal cell carcinoma of skin, unspecified",,,Dermatology
"C4492   Squamous cell carcinoma of skin, unspecified",,,Dermatology
"C4499   Other specified malignant neoplasm of skin, unspecified",,,Dermatology
C460    Kaposi's sarcoma of skin,,,Dermatology
C49A2   Gastrointestinal stromal tumor of stomach,,,Gastroenterology
C49A3   Gastrointestinal stromal tumor of small intestine,,,Gastroenterology
C49A4   Gastrointestinal stromal tumor of large intestine,,,Gastroenterology
"C50011  Malignant neoplasm of nipple and areola, right female breast",,,Gynecology
"C50012  Malignant neoplasm of nipple and areola, left female breast",,,Gynecology
"C50019  Malignant neoplasm of nipple and areola, unspecified female breast",,,Gynecology
"C50021  Malignant neoplasm of nipple and areola, right male breast",,,Gynecology
"C50022  Malignant neoplasm of nipple and areola, left male breast",,,Gynecology
"C50029  Malignant neoplasm of nipple and areola, unspecified male breast",,,Gynecology
C50111  Malignant neoplasm of central portion of right female breast,,,Gynecology
C50112  Malignant neoplasm of central portion of left female breast,,,Gynecology
C50119  Malignant neoplasm of central portion of unspecified female breast,,,Gynecology
C50121  Malignant neoplasm of central portion of right male breast,,,Gynecology
C50122  Malignant neoplasm of central portion of left male breast,,,Gynecology
C50129  Malignant neoplasm of central portion of unspecified male breast,,,Gynecology
C50211  Malignant neoplasm of upper-inner quadrant of right female breast,,,Gynecology
C50212  Malignant neoplasm of upper-inner quadrant of left female breast,,,Gynecology
C50219  Malignant neoplasm of upper-inner quadrant of unspecified female breast,,,Gynecology
C50221  Malignant neoplasm of upper-inner quadrant of right male breast,,,Gynecology
C50222  Malignant neoplasm of upper-inner quadrant of left male breast,,,Gynecology
C50229  Malignant neoplasm of upper-inner quadrant of unspecified male breast,,,Gynecology
C50311  Malignant neoplasm of lower-inner quadrant of right female breast,,,Gynecology
C50312  Malignant neoplasm of lower-inner quadrant of left female breast,,,Gynecology
C50319  Malignant neoplasm of lower-inner quadrant of unspecified female breast,,,Gynecology
C50321  Malignant neoplasm of lower-inner quadrant of right male breast,,,Gynecology
C50322  Malignant neoplasm of lower-inner quadrant of left male breast,,,Gynecology
C50329  Malignant neoplasm of lower-inner quadrant of unspecified male breast,,,Gynecology
C50411  Malignant neoplasm of upper-outer quadrant of right female breast,,,Gynecology
C50412  Malignant neoplasm of upper-outer quadrant of left female breast,,,Gynecology
C50419  Malignant neoplasm of upper-outer quadrant of unspecified female breast,,,Gynecology
C50421  Malignant neoplasm of upper-outer quadrant of right male breast,,,Gynecology
C50422  Malignant neoplasm of upper-outer quadrant of left male breast,,,Gynecology
C50429  Malignant neoplasm of upper-outer quadrant of unspecified male breast,,,Gynecology
C50511  Malignant neoplasm of lower-outer quadrant of right female breast,,,Gynecology
C50512  Malignant neoplasm of lower-outer quadrant of left female breast,,,Gynecology
C50519  Malignant neoplasm of lower-outer quadrant of unspecified female breast,,,Gynecology
C50521  Malignant neoplasm of lower-outer quadrant of right male breast,,,Gynecology
C50522  Malignant neoplasm of lower-outer quadrant of left male breast,,,Gynecology
C50529  Malignant neoplasm of lower-outer quadrant of unspecified male breast,,,Gynecology
C50611  Malignant neoplasm of axillary tail of right female breast,,,Gynecology
C50612  Malignant neoplasm of axillary tail of left female breast,,,Gynecology
C50619  Malignant neoplasm of axillary tail of unspecified female breast,,,Gynecology
C50621  Malignant neoplasm of axillary tail of right male breast,,,Gynecology
C50622  Malignant neoplasm of axillary tail of left male breast,,,Gynecology
C50629  Malignant neoplasm of axillary tail of unspecified male breast,,,Gynecology
C50811  Malignant neoplasm of overlapping sites of right female breast,,,Gynecology
C50812  Malignant neoplasm of overlapping sites of left female breast,,,Gynecology
C50819  Malignant neoplasm of overlapping sites of unspecified female breast,,,Gynecology
C50821  Malignant neoplasm of overlapping sites of right male breast,,,Gynecology
C50822  Malignant neoplasm of overlapping sites of left male breast,,,Gynecology
C50829  Malignant neoplasm of overlapping sites of unspecified male breast,,,Gynecology
C50911  Malignant neoplasm of unspecified site of right female breast,,,Gynecology
C50912  Malignant neoplasm of unspecified site of left female breast,,,Gynecology
C50919  Malignant neoplasm of unspecified site of unspecified female breast,,,Gynecology
C50921  Malignant neoplasm of unspecified site of right male breast,,,Gynecology
C50922  Malignant neoplasm of unspecified site of left male breast,,,Gynecology
C50929  Malignant neoplasm of unspecified site of unspecified male breast,,,Gynecology
C538    Malignant neoplasm of overlapping sites of cervix uteri,,,Gynecology
"C539    Malignant neoplasm of cervix uteri, unspecified",,,Gynecology
"C55     Malignant neoplasm of uterus, part unspecified",,,Gynecology
C561    Malignant neoplasm of right ovary,,,Gynecology
C562    Malignant neoplasm of left ovary,,,Gynecology
C569    Malignant neoplasm of unspecified ovary,,,Gynecology
C717    Malignant neoplasm of brain stem,,,Neurology
C718    Malignant neoplasm of overlapping sites of brain,,,Neurology
"C719    Malignant neoplasm of brain, unspecified",,,Neurology
C7220   Malignant neoplasm of unspecified olfactory nerve,,,Neurology
C7221   Malignant neoplasm of right olfactory nerve,,,Neurology
C7222   Malignant neoplasm of left olfactory nerve,,,Neurology
C7230   Malignant neoplasm of unspecified optic nerve,,,Neurology
C7231   Malignant neoplasm of right optic nerve,,,Neurology
C7232   Malignant neoplasm of left optic nerve,,,Neurology
C7240   Malignant neoplasm of unspecified acoustic nerve,,,Neurology
C7241   Malignant neoplasm of right acoustic nerve,,,Neurology
C7242   Malignant neoplasm of left acoustic nerve,,,Neurology
C7250   Malignant neoplasm of unspecified cranial nerve,,,Neurology
"C7A019  Malignant carcinoid tumor of the small intestine, unspecified portion",,,Gastroenterology
C7A022  Malignant carcinoid tumor of the ascending colon,,,Gastroenterology
C7A023  Malignant carcinoid tumor of the transverse colon,,,Gastroenterology
C7A024  Malignant carcinoid tumor of the descending colon,,,Gastroenterology
C7A025  Malignant carcinoid tumor of the sigmoid colon,,,Gastroenterology
"C7A029  Malignant carcinoid tumor of the large intestine, unspecified portion",,,Gastroenterology
C7A092  Malignant carcinoid tumor of the stomach,,,Gastroenterology
C7B02   Secondary carcinoid tumors of liver,,,Gastroenterology
C7B03   Secondary carcinoid tumors of bone,,,Orthopedics
C784    Secondary malignant neoplasm of small intestine,,,Gastroenterology
C785    Secondary malignant neoplasm of large intestine and rectum,,,Gastroenterology
C787    Secondary malignant neoplasm of liver and intrahepatic bile duct,,,Gastroenterology
C792    Secondary malignant neoplasm of skin,,,Dermatology
C7931   Secondary malignant neoplasm of brain,,,Neurology
C7951   Secondary malignant neoplasm of bone,,,Orthopedics
C7952   Secondary malignant neoplasm of bone marrow,,,Orthopedics
C7960   Secondary malignant neoplasm of unspecified ovary,,,Gynecology
C7961   Secondary malignant neoplasm of right ovary,,,Gynecology
C7962   Secondary malignant neoplasm of left ovary,,,Gynecology
C7981   Secondary malignant neoplasm of breast,,,Gynecology
D002    Carcinoma in situ of stomach,,,Gastroenterology
D010    Carcinoma in situ of colon,,,Gastroenterology
D0140   Carcinoma in situ of unspecified part of intestine,,,Gastroenterology
D0149   Carcinoma in situ of other parts of intestine,,,Gastroenterology
"D015    Carcinoma in situ of liver, gallbladder and bile ducts",,,Gastroenterology
D0320   Melanoma in situ of unspecified ear and external auricular canal,,,ENT
D0321   Melanoma in situ of right ear and external auricular canal,,,ENT
D0322   Melanoma in situ of left ear and external auricular canal,,,ENT
D0351   Melanoma in situ of anal skin,,,Dermatology
D0352   Melanoma in situ of breast (skin) (soft tissue),,,Gynecology
D040    Carcinoma in situ of skin of lip,,,Dermatology
"D0410   Carcinoma in situ of skin of unspecified eyelid, including canthus",,,Dermatology
"D0411   Carcinoma in situ of skin of right eyelid, including canthus",,,Dermatology
"D0412   Carcinoma in situ of skin of left eyelid, including canthus",,,Dermatology
D0420   Carcinoma in situ of skin of unspecified ear and external auricular canal,,,ENT
D0421   Carcinoma in situ of skin of right ear and external auricular canal,,,ENT
D0422   Carcinoma in situ of skin of left ear and external auricular canal,,,ENT
D0430   Carcinoma in situ of skin of unspecified part of face,,,Dermatology
D0439   Carcinoma in situ of skin of other parts of face,,,Dermatology
D044    Carcinoma in situ of skin of scalp and neck,,,Dermatology
D045    Carcinoma in situ of skin of trunk,,,Dermatology
"D0460   Carcinoma in situ of skin of unspecified upper limb, including shoulder",,,Dermatology
"D0461   Carcinoma in situ of skin of right upper limb, including shoulder",,,Dermatology
"D0462   Carcinoma in situ of skin of left upper limb, including shoulder",,,Dermatology
"D0470   Carcinoma in situ of skin of unspecified lower limb, including hip",,,Dermatology
"D0471   Carcinoma in situ of skin of right lower limb, including hip",,,Dermatology
"D0472   Carcinoma in situ of skin of left lower limb, including hip",,,Dermatology
D048    Carcinoma in situ of skin of other sites,,,Dermatology
"D049    Carcinoma in situ of skin, unspecified",,,Dermatology
D0500   Lobular carcinoma in situ of unspecified breast,,,Gynecology
D0501   Lobular carcinoma in situ of right breast,,,Gynecology
D0502   Lobular carcinoma in situ of left breast,,,Gynecology
D0510   Intraductal carcinoma in situ of unspecified breast,,,Gynecology
D0511   Intraductal carcinoma in situ of right breast,,,Gynecology
D0512   Intraductal carcinoma in situ of left breast,,,Gynecology
D0580   Other specified type of carcinoma in situ of unspecified breast,,,Gynecology
D0581   Other specified type of carcinoma in situ of right breast,,,Gynecology
D0582   Other specified type of carcinoma in situ of left breast,,,Gynecology
D0590   Unspecified type of carcinoma in situ of unspecified breast,,,Gynecology
D0591   Unspecified type of carcinoma in situ of right breast,,,Gynecology
D0592   Unspecified type of carcinoma in situ of left breast,,,Gynecology
D067    Carcinoma in situ of other parts of cervix,,,Gynecology
"D069    Carcinoma in situ of cervix, unspecified",,,Gynecology
D122    Benign neoplasm of ascending colon,,,Gastroenterology
D123    Benign neoplasm of transverse colon,,,Gastroenterology
D124    Benign neoplasm of descending colon,,,Gastroenterology
D125    Benign neoplasm of sigmoid colon,,,Gastroenterology
"D126    Benign neoplasm of colon, unspecified",,,Gastroenterology
D131    Benign neoplasm of stomach,,,Gastroenterology
D1330   Benign neoplasm of unspecified part of small intestine,,,Gastroenterology
D1339   Benign neoplasm of other parts of small intestine,,,Gastroenterology
D134    Benign neoplasm of liver,,,Gastroenterology
D136    Benign neoplasm of pancreas,,,Gastroenterology
D137    Benign neoplasm of endocrine pancreas,,,Gastroenterology
"D140    Benign neoplasm of middle ear, nasal cavity and accessory sinuses",,,ENT
D151    Benign neoplasm of heart,,,Cardiology
D165    Benign neoplasm of lower jaw bone,,,Orthopedics
"D168    Benign neoplasm of pelvic bones, sacrum and coccyx",,,Gynecology
"D169    Benign neoplasm of bone and articular cartilage, unspecified",,,Orthopedics
"D170    Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck",,,Dermatology
D171    Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,,,Dermatology
D1720   Benign lipomatous neoplasm of skin and subcutaneous tissue of unspecified limb,,,Dermatology
D1721   Benign lipomatous neoplasm of skin and subcutaneous tissue of right arm,,,Dermatology
D1722   Benign lipomatous neoplasm of skin and subcutaneous tissue of left arm,,,Dermatology
D1723   Benign lipomatous neoplasm of skin and subcutaneous tissue of right leg,,,Dermatology
D1724   Benign lipomatous neoplasm of skin and subcutaneous tissue of left leg,,,Dermatology
D1730   Benign lipomatous neoplasm of skin and subcutaneous tissue of unspecified sites,,,Dermatology
D1739   Benign lipomatous neoplasm of skin and subcutaneous tissue of other sites,,,Dermatology
D1801   Hemangioma of skin and subcutaneous tissue,,,Dermatology
D2220   Melanocytic nevi of unspecified ear and external auricular canal,,,ENT
D2221   Melanocytic nevi of right ear and external auricular canal,,,ENT
D2222   Melanocytic nevi of left ear and external auricular canal,,,ENT
D230    Other benign neoplasm of skin of lip,,,Dermatology
"D2310   Other benign neoplasm of skin of unspecified eyelid, including canthus",,,Dermatology
"D2311   Other benign neoplasm of skin of right eyelid, including canthus",,,Dermatology
"D2312   Other benign neoplasm of skin of left eyelid, including canthus",,,Dermatology
D2320   Other benign neoplasm of skin of unspecified ear and external auricular canal,,,ENT
D2321   Other benign neoplasm of skin of right ear and external auricular canal,,,ENT
D2322   Other benign neoplasm of skin of left ear and external auricular canal,,,ENT
D2330   Other benign neoplasm of skin of unspecified part of face,,,Dermatology
D2339   Other benign neoplasm of skin of other parts of face,,,Dermatology
D234    Other benign neoplasm of skin of scalp and neck,,,Dermatology
D235    Other benign neoplasm of skin of trunk,,,Dermatology
"D2360   Other benign neoplasm of skin of unspecified upper limb, including shoulder",,,Dermatology
"D2361   Other benign neoplasm of skin of right upper limb, including shoulder",,,Dermatology
"D2362   Other benign neoplasm of skin of left upper limb, including shoulder",,,Dermatology
