Diagnosis,Symptoms,MEDICATION,Specialty
C50419  Malignant neoplasm of upper-outer quadrant of unspecified female breast,,,Gynecology
C50421  Malignant neoplasm of upper-outer quadrant of right male breast,,,Gynecology
C50422  Malignant neoplasm of upper-outer quadrant of left male breast,,,Gynecology
C50429  Malignant neoplasm of upper-outer quadrant of unspecified male breast,,,Gynecology
C50511  Malignant neoplasm of lower-outer quadrant of right female breast,,,Gynecology
C50512  Malignant neoplasm of lower-outer quadrant of left female breast,,,Gynecology
C50519  Malignant neoplasm of lower-outer quadrant of unspecified female breast,,,Gynecology
C50521  Malignant neoplasm of lower-outer quadrant of right male breast,,,Gynecology
C50522  Malignant neoplasm of lower-outer quadrant of left male breast,,,Gynecology
C50529  Malignant neoplasm of lower-outer quadrant of unspecified male breast,,,Gynecology
C50611  Malignant neoplasm of axillary tail of right female breast,,,Gynecology
C50612  Malignant neoplasm of axillary tail of left female breast,,,Gynecology
C50619  Malignant neoplasm of axillary tail of unspecified female breast,,,Gynecology
C50621  Malignant neoplasm of axillary tail of right male breast,,,Gynecology
C50622  Malignant neoplasm of axillary tail of left male breast,,,Gynecology
C50629  Malignant neoplasm of axillary tail of unspecified male breast,,,Gynecology
C50811  Malignant neoplasm of overlapping sites of right female breast,,,Gynecology
C50812  Malignant neoplasm of overlapping sites of left female breast,,,Gynecology
C50819  Malignant neoplasm of overlapping sites of unspecified female breast,,,Gynecology
C50821  Malignant neoplasm of overlapping sites of right male breast,,,Gynecology
C50822  Malignant neoplasm of overlapping sites of left male breast,,,Gynecology
C50829  Malignant neoplasm of overlapping sites of unspecified male breast,,,Gynecology
C50911  Malignant neoplasm of unspecified site of right female breast,,,Gynecology
C50912  Malignant neoplasm of unspecified site of left female breast,,,Gynecology
C50919  Malignant neoplasm of unspecified site of unspecified female breast,,,Gynecology
C50921  Malignant neoplasm of unspecified site of right male breast,,,Gynecology
C50922  Malignant neoplasm of unspecified site of left male breast,,,Gynecology
C50929  Malignant neoplasm of unspecified site of unspecified male breast,,,Gynecology
C538    Malignant neoplasm of overlapping sites of cervix uteri,,,Gynecology
"C539    Malignant neoplasm of cervix uteri, unspecified",,,Gynecology
"C55     Malignant neoplasm of uterus, part unspecified",,,Gynecology
C561    Malignant neoplasm of right ovary,,,Gynecology
C562    Malignant neoplasm of left ovary,,,Gynecology
C569    Malignant neoplasm of unspecified ovary,,,Gynecology
C7960   Secondary malignant neoplasm of unspecified ovary,,,Gynecology
C7961   Secondary malignant neoplasm of right ovary,,,Gynecology
C7962   Secondary malignant neoplasm of left ovary,,,Gynecology
C7981   Secondary malignant neoplasm of breast,,,Gynecology
D0352   Melanoma in situ of breast (skin) (soft tissue),,,Gynecology
D0500   Lobular carcinoma in situ of unspecified breast,,,Gynecology
D0501   Lobular carcinoma in situ of right breast,,,Gynecology
D0502   Lobular carcinoma in situ of left breast,,,Gynecology
D0510   Intraductal carcinoma in situ of unspecified breast,,,Gynecology
D0511   Intraductal carcinoma in situ of right breast,,,Gynecology
D0512   Intraductal carcinoma in situ of left breast,,,Gynecology
D0580   Other specified type of carcinoma in situ of unspecified breast,,,Gynecology
D0581   Other specified type of carcinoma in situ of right breast,,,Gynecology
D0582   Other specified type of carcinoma in situ of left breast,,,Gynecology
D0590   Unspecified type of carcinoma in situ of unspecified breast,,,Gynecology
D0591   Unspecified type of carcinoma in situ of right breast,,,Gynecology
D0592   Unspecified type of carcinoma in situ of left breast,,,Gynecology
D067    Carcinoma in situ of other parts of cervix,,,Gynecology
"D069    Carcinoma in situ of cervix, unspecified",,,Gynecology
"D168    Benign neoplasm of pelvic bones, sacrum and coccyx",,,Gynecology
D241    Benign neoplasm of right breast,,,Gynecology
D242    Benign neoplasm of left breast,,,Gynecology
D249    Benign neoplasm of unspecified breast,,,Gynecology
D250    Submucous leiomyoma of uterus,,,Gynecology
D251    Intramural leiomyoma of uterus,,,Gynecology
D252    Subserosal leiomyoma of uterus,,,Gynecology
"D259    Leiomyoma of uterus, unspecified",,,Gynecology
D260    Other benign neoplasm of cervix uteri,,,Gynecology
D267    Other benign neoplasm of other parts of uterus,,,Gynecology
"D269    Other benign neoplasm of uterus, unspecified",,,Gynecology
D270    Benign neoplasm of right ovary,,,Gynecology
D271    Benign neoplasm of left ovary,,,Gynecology
D279    Benign neoplasm of unspecified ovary,,,Gynecology
D390    Neoplasm of uncertain behavior of uterus,,,Gynecology
D3910   Neoplasm of uncertain behavior of unspecified ovary,,,Gynecology
D3911   Neoplasm of uncertain behavior of right ovary,,,Gynecology
D3912   Neoplasm of uncertain behavior of left ovary,,,Gynecology
D4860   Neoplasm of uncertain behavior of unspecified breast,,,Gynecology
D4861   Neoplasm of uncertain behavior of right breast,,,Gynecology
D4862   Neoplasm of uncertain behavior of left breast,,,Gynecology
D493    Neoplasm of unspecified behavior of breast,,,Gynecology
I862    Pelvic varices,,,Gynecology
"M84851  Other disorders of continuity of bone, right pelvic region and thigh",,,Gynecology
"M84852  Other disorders of continuity of bone, left pelvic region and thigh",,,Gynecology
"M84859  Other disorders of continuity of bone, unspecified pelvic region and thigh",,,Gynecology
"M89751  Major osseous defect, right pelvic region and thigh",,,Gynecology
"M89752  Major osseous defect, left pelvic region and thigh",,,Gynecology
"M89759  Major osseous defect, unspecified pelvic region and thigh",,,Gynecology
M9905   Segmental and somatic dysfunction of pelvic region,,,Gynecology
M9915   Subluxation complex (vertebral) of pelvic region,,,Gynecology
M9925   Subluxation stenosis of neural canal of pelvic region,,,Gynecology
M9935   Osseous stenosis of neural canal of pelvic region,,,Gynecology
M9945   Connective tissue stenosis of neural canal of pelvic region,,,Gynecology
M9955   Intervertebral disc stenosis of neural canal of pelvic region,,,Gynecology
M9965   Osseous and subluxation stenosis of intervertebral foramina of pelvic region,,,Gynecology
M9975   Connective tissue and disc stenosis of intervertebral foramina of pelvic region,,,Gynecology
M9985   Other biomechanical lesions of pelvic region,,,Gynecology
N6001   Solitary cyst of right breast,,,Gynecology
N6002   Solitary cyst of left breast,,,Gynecology
N6009   Solitary cyst of unspecified breast,,,Gynecology
N6011   Diffuse cystic mastopathy of right breast,,,Gynecology
N6012   Diffuse cystic mastopathy of left breast,,,Gynecology
N6019   Diffuse cystic mastopathy of unspecified breast,,,Gynecology
N6021   Fibroadenosis of right breast,,,Gynecology
N6022   Fibroadenosis of left breast,,,Gynecology
N6029   Fibroadenosis of unspecified breast,,,Gynecology
N6031   Fibrosclerosis of right breast,,,Gynecology
N6032   Fibrosclerosis of left breast,,,Gynecology
N6039   Fibrosclerosis of unspecified breast,,,Gynecology
N6041   Mammary duct ectasia of right breast,,,Gynecology
N6042   Mammary duct ectasia of left breast,,,Gynecology
N6049   Mammary duct ectasia of unspecified breast,,,Gynecology
N6081   Other benign mammary dysplasias of right breast,,,Gynecology
N6082   Other benign mammary dysplasias of left breast,,,Gynecology
N6089   Other benign mammary dysplasias of unspecified breast,,,Gynecology
N6091   Unspecified benign mammary dysplasia of right breast,,,Gynecology
N6092   Unspecified benign mammary dysplasia of left breast,,,Gynecology
N6099   Unspecified benign mammary dysplasia of unspecified breast,,,Gynecology
N611    Abscess of the breast and nipple,,,Gynecology
N62     Hypertrophy of breast,,,Gynecology
N63     Unspecified lump in breast,,,Gynecology
N641    Fat necrosis of breast,,,Gynecology
N642    Atrophy of breast,,,Gynecology
N6451   Induration of breast,,,Gynecology
N6459   Other signs and symptoms in breast,,,Gynecology
N6481   Ptosis of breast,,,Gynecology
N6482   Hypoplasia of breast,,,Gynecology
N6489   Other specified disorders of breast,,,Gynecology
"N649    Disorder of breast, unspecified",,,Gynecology
N650    Deformity of reconstructed breast,,,Gynecology
N651    Disproportion of reconstructed breast,,,Gynecology
N710    Acute inflammatory disease of uterus,,,Gynecology
N711    Chronic inflammatory disease of uterus,,,Gynecology
"N719    Inflammatory disease of uterus, unspecified",,,Gynecology
N72     Inflammatory disease of cervix uteri,,,Gynecology
N730    Acute parametritis and pelvic cellulitis,,,Gynecology
N731    Chronic parametritis and pelvic cellulitis,,,Gynecology
N732    Unspecified parametritis and pelvic cellulitis,,,Gynecology
N733    Female acute pelvic peritonitis,,,Gynecology
N734    Female chronic pelvic peritonitis,,,Gynecology
"N735    Female pelvic peritonitis, unspecified",,,Gynecology
N736    Female pelvic peritoneal adhesions (postinfective),,,Gynecology
N738    Other specified female pelvic inflammatory diseases,,,Gynecology
"N739    Female pelvic inflammatory disease, unspecified",,,Gynecology
N74     Female pelvic inflammatory disorders in diseases classified elsewhere,,,Gynecology
N800    Endometriosis of uterus,,,Gynecology
N801    Endometriosis of ovary,,,Gynecology
N802    Endometriosis of fallopian tube,,,Gynecology
N803    Endometriosis of pelvic peritoneum,,,Gynecology
N804    Endometriosis of rectovaginal septum and vagina,,,Gynecology
N805    Endometriosis of intestine,,,Gynecology
N806    Endometriosis in cutaneous scar,,,Gynecology
N808    Other endometriosis,,,Gynecology
"N809    Endometriosis, unspecified",,,Gynecology
N8184   Pelvic muscle wasting,,,Gynecology
"N8300   Follicular cyst of ovary, unspecified side",,,Gynecology
N8301   Follicular cyst of right ovary,,,Gynecology
N8302   Follicular cyst of left ovary,,,Gynecology
"N8310   Corpus luteum cyst of ovary, unspecified side",,,Gynecology
N8311   Corpus luteum cyst of right ovary,,,Gynecology
N8312   Corpus luteum cyst of left ovary,,,Gynecology
N83311  Acquired atrophy of right ovary,,,Gynecology
N83312  Acquired atrophy of left ovary,,,Gynecology
"N83319  Acquired atrophy of ovary, unspecified side",,,Gynecology
N83331  Acquired atrophy of right ovary and fallopian tube,,,Gynecology
N83332  Acquired atrophy of left ovary and fallopian tube,,,Gynecology
"N83339  Acquired atrophy of ovary and fallopian tube, unspecified side",,,Gynecology
"N8340   Prolapse and hernia of ovary and fallopian tube, unspecified side",,,Gynecology
N8341   Prolapse and hernia of right ovary and fallopian tube,,,Gynecology
N8342   Prolapse and hernia of left ovary and fallopian tube,,,Gynecology
N83511  Torsion of right ovary and ovarian pedicle,,,Gynecology
N83512  Torsion of left ovary and ovarian pedicle,,,Gynecology
"N83519  Torsion of ovary and ovarian pedicle, unspecified side",,,Gynecology
"N8353   Torsion of ovary, ovarian pedicle and fallopian tube",,,Gynecology
"N838    Other noninflammatory disorders of ovary, fallopian tube and broad ligament",,,Gynecology
"N839    Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified",,,Gynecology
N841    Polyp of cervix uteri,,,Gynecology
N852    Hypertrophy of uterus,,,Gynecology
N853    Subinvolution of uterus,,,Gynecology
N854    Malposition of uterus,,,Gynecology
N855    Inversion of uterus,,,Gynecology
N858    Other specified noninflammatory disorders of uterus,,,Gynecology
"N859    Noninflammatory disorder of uterus, unspecified",,,Gynecology
N86     Erosion and ectropion of cervix uteri,,,Gynecology
"N879    Dysplasia of cervix uteri, unspecified",,,Gynecology
N880    Leukoplakia of cervix uteri,,,Gynecology
N881    Old laceration of cervix uteri,,,Gynecology
N882    Stricture and stenosis of cervix uteri,,,Gynecology
N883    Incompetence of cervix uteri,,,Gynecology
N884    Hypertrophic elongation of cervix uteri,,,Gynecology
N888    Other specified noninflammatory disorders of cervix uteri,,,Gynecology
"N889    Noninflammatory disorder of cervix uteri, unspecified",,,Gynecology
N920    Excessive and frequent menstruation with regular cycle,,,Gynecology
N921    Excessive and frequent menstruation with irregular cycle,,,Gynecology
N922    Excessive menstruation at puberty,,,Gynecology
N925    Other specified irregular menstruation,,,Gynecology
"N926    Irregular menstruation, unspecified",,,Gynecology
N96     Recurrent pregnancy loss,,,Gynecology
N994    Postprocedural pelvic peritoneal adhesions,,,Gynecology
N9983   Residual ovary syndrome,,,Gynecology
O0000   Abdominal pregnancy without intrauterine pregnancy,,,Gynecology
O0001   Abdominal pregnancy with intrauterine pregnancy,,,Gynecology
O0010   Tubal pregnancy without intrauterine pregnancy,,,Gynecology
O0011   Tubal pregnancy with intrauterine pregnancy,,,Gynecology
O0020   Ovarian pregnancy without intrauterine pregnancy,,,Gynecology
O0021   Ovarian pregnancy with intrauterine pregnancy,,,Gynecology
O0080   Other ectopic pregnancy without intrauterine pregnancy,,,Gynecology
O0081   Other ectopic pregnancy with intrauterine pregnancy,,,Gynecology
O0090   Unspecified ectopic pregnancy without intrauterine pregnancy,,,Gynecology
O0091   Unspecified ectopic pregnancy with intrauterine pregnancy,,,Gynecology
O0281   Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy,,,Gynecology
O030    Genital tract and pelvic infection following incomplete spontaneous abortion,,,Gynecology
O0334   Damage to pelvic organs following incomplete spontaneous abortion,,,Gynecology
O035    Genital tract and pelvic infection following complete or unspecified spontaneous abortion,,,Gynecology
O0384   Damage to pelvic organs following complete or unspecified spontaneous abortion,,,Gynecology
O045    Genital tract and pelvic infection following (induced) termination of pregnancy,,,Gynecology
O046    Delayed or excessive hemorrhage following (induced) termination of pregnancy,,,Gynecology
O047    Embolism following (induced) termination of pregnancy,,,Gynecology
O0480   (Induced) termination of pregnancy with unspecified complications,,,Gynecology
O0481   Shock following (induced) termination of pregnancy,,,Gynecology
O0482   Renal failure following (induced) termination of pregnancy,,,Gynecology
O0483   Metabolic disorder following (induced) termination of pregnancy,,,Gynecology
O0484   Damage to pelvic organs following (induced) termination of pregnancy,,,Gynecology
O0485   Other venous complications following (induced) termination of pregnancy,,,Gynecology
O0486   Cardiac arrest following (induced) termination of pregnancy,,,Gynecology
O0487   Sepsis following (induced) termination of pregnancy,,,Gynecology
O0488   Urinary tract infection following (induced) termination of pregnancy,,,Gynecology
O0489   (Induced) termination of pregnancy with other complications,,,Gynecology
O070    Genital tract and pelvic infection following failed attempted termination of pregnancy,,,Gynecology
O071    Delayed or excessive hemorrhage following failed attempted termination of pregnancy,,,Gynecology
O072    Embolism following failed attempted termination of pregnancy,,,Gynecology
O0730   Failed attempted termination of pregnancy with unspecified complications,,,Gynecology
O0731   Shock following failed attempted termination of pregnancy,,,Gynecology
O0732   Renal failure following failed attempted termination of pregnancy,,,Gynecology
O0733   Metabolic disorder following failed attempted termination of pregnancy,,,Gynecology
O0734   Damage to pelvic organs following failed attempted termination of pregnancy,,,Gynecology
O0735   Other venous complications following failed attempted termination of pregnancy,,,Gynecology
O0736   Cardiac arrest following failed attempted termination of pregnancy,,,Gynecology
O0737   Sepsis following failed attempted termination of pregnancy,,,Gynecology
O0738   Urinary tract infection following failed attempted termination of pregnancy,,,Gynecology
O0739   Failed attempted termination of pregnancy with other complications,,,Gynecology
O074    Failed attempted termination of pregnancy without complication,,,Gynecology
O080    Genital tract and pelvic infection following ectopic and molar pregnancy,,,Gynecology
O081    Delayed or excessive hemorrhage following ectopic and molar pregnancy,,,Gynecology
O082    Embolism following ectopic and molar pregnancy,,,Gynecology
O083    Shock following ectopic and molar pregnancy,,,Gynecology
O084    Renal failure following ectopic and molar pregnancy,,,Gynecology
O085    Metabolic disorders following an ectopic and molar pregnancy,,,Gynecology
O086    Damage to pelvic organs and tissues following an ectopic and molar pregnancy,,,Gynecology
O087    Other venous complications following an ectopic and molar pregnancy,,,Gynecology
O0881   Cardiac arrest following an ectopic and molar pregnancy,,,Gynecology
O0882   Sepsis following ectopic and molar pregnancy,,,Gynecology
O0883   Urinary tract infection following an ectopic and molar pregnancy,,,Gynecology
O0889   Other complications following an ectopic and molar pregnancy,,,Gynecology
O089    Unspecified complication following an ectopic and molar pregnancy,,,Gynecology
"O0900   Supervision of pregnancy with history of infertility, unspecified trimester",,,Gynecology
"O0901   Supervision of pregnancy with history of infertility, first trimester",,,Gynecology
"O0902   Supervision of pregnancy with history of infertility, second trimester",,,Gynecology
"O0903   Supervision of pregnancy with history of infertility, third trimester",,,Gynecology
"O0910   Supervision of pregnancy with history of ectopic pregnancy, unspecified trimester",,,Gynecology
"O0911   Supervision of pregnancy with history of ectopic pregnancy, first trimester",,,Gynecology
"O0912   Supervision of pregnancy with history of ectopic pregnancy, second trimester",,,Gynecology
"O0913   Supervision of pregnancy with history of ectopic pregnancy, third trimester",,,Gynecology
"O09A0   Supervision of pregnancy with history of molar pregnancy, unspecified trimester",,,Gynecology
"O09A1   Supervision of pregnancy with history of molar pregnancy, first trimester",,,Gynecology
"O09A2   Supervision of pregnancy with history of molar pregnancy, second trimester",,,Gynecology
"O09A3   Supervision of pregnancy with history of molar pregnancy, third trimester",,,Gynecology
"O09211  Supervision of pregnancy with history of pre-term labor, first trimester",,,Gynecology
"O09212  Supervision of pregnancy with history of pre-term labor, second trimester",,,Gynecology
"O09213  Supervision of pregnancy with history of pre-term labor, third trimester",,,Gynecology
"O09219  Supervision of pregnancy with history of pre-term labor, unspecified trimester",,,Gynecology
"O09291  Supervision of pregnancy with other poor reproductive or obstetric history, first trimester",,,Gynecology
"O09292  Supervision of pregnancy with other poor reproductive or obstetric history, second trimester",,,Gynecology
"O09293  Supervision of pregnancy with other poor reproductive or obstetric history, third trimester",,,Gynecology
"O09299  Supervision of pregnancy with other poor reproductive or obstetric history, unspecified
trimester",,,Gynecology
"O0930   Supervision of pregnancy with insufficient antenatal care, unspecified trimester",,,Gynecology
"O0931   Supervision of pregnancy with insufficient antenatal care, first trimester",,,Gynecology
"O0932   Supervision of pregnancy with insufficient antenatal care, second trimester",,,Gynecology
"O0933   Supervision of pregnancy with insufficient antenatal care, third trimester",,,Gynecology
"O0940   Supervision of pregnancy with grand multiparity, unspecified trimester",,,Gynecology
"O0941   Supervision of pregnancy with grand multiparity, first trimester",,,Gynecology
"O0942   Supervision of pregnancy with grand multiparity, second trimester",,,Gynecology
"O0943   Supervision of pregnancy with grand multiparity, third trimester",,,Gynecology
"O0970   Supervision of high risk pregnancy due to social problems, unspecified trimester",,,Gynecology
"O0971   Supervision of high risk pregnancy due to social problems, first trimester",,,Gynecology
"O0972   Supervision of high risk pregnancy due to social problems, second trimester",,,Gynecology
"O0973   Supervision of high risk pregnancy due to social problems, third trimester",,,Gynecology
"O09811  Supervision of pregnancy resulting from assisted reproductive technology, first trimester",,,Gynecology
"O09812  Supervision of pregnancy resulting from assisted reproductive technology, second trimester",,,Gynecology
"O09813  Supervision of pregnancy resulting from assisted reproductive technology, third trimester",,,Gynecology
"O09819  Supervision of pregnancy resulting from assisted reproductive technology, unspecified
trimester",,,Gynecology
"O09821  Supervision of pregnancy with history of in utero procedure during previous pregnancy, first
trimester",,,Gynecology
"O09822  Supervision of pregnancy with history of in utero procedure during previous pregnancy, second
trimester",,,Gynecology
"O09823  Supervision of pregnancy with history of in utero procedure during previous pregnancy, third
trimester",,,Gynecology
"O09829  Supervision of pregnancy with history of in utero procedure during previous pregnancy,
unspecified trimester",,,Gynecology
"O0990   Supervision of high risk pregnancy, unspecified, unspecified trimester",,,Gynecology
"O0991   Supervision of high risk pregnancy, unspecified, first trimester",,,Gynecology
"O0992   Supervision of high risk pregnancy, unspecified, second trimester",,,Gynecology
"O0993   Supervision of high risk pregnancy, unspecified, third trimester",,,Gynecology
"O10011  Pre-existing essential hypertension complicating pregnancy, first trimester",,,Gynecology
"O10012  Pre-existing essential hypertension complicating pregnancy, second trimester",,,Gynecology
"O10013  Pre-existing essential hypertension complicating pregnancy, third trimester",,,Gynecology
"O10019  Pre-existing essential hypertension complicating pregnancy, unspecified trimester",,,Gynecology
"O10111  Pre-existing hypertensive heart disease complicating pregnancy, first trimester",,,Gynecology
"O10112  Pre-existing hypertensive heart disease complicating pregnancy, second trimester",,,Gynecology
"O10113  Pre-existing hypertensive heart disease complicating pregnancy, third trimester",,,Gynecology
"O10119  Pre-existing hypertensive heart disease complicating pregnancy, unspecified trimester",,,Gynecology
"O10211  Pre-existing hypertensive chronic kidney disease complicating pregnancy, first trimester",,,Gynecology
"O10212  Pre-existing hypertensive chronic kidney disease complicating pregnancy, second trimester",,,Gynecology
"O10213  Pre-existing hypertensive chronic kidney disease complicating pregnancy, third trimester",,,Gynecology
"O10219  Pre-existing hypertensive chronic kidney disease complicating pregnancy, unspecified trimester",,,Gynecology
"O10311  Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, first
trimester",,,Gynecology
"O10312  Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, second
trimester",,,Gynecology
"O10313  Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third
trimester",,,Gynecology
"O10319  Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, unspecified
trimester",,,Gynecology
"O10411  Pre-existing secondary hypertension complicating pregnancy, first trimester",,,Gynecology
"O10412  Pre-existing secondary hypertension complicating pregnancy, second trimester",,,Gynecology
"O10413  Pre-existing secondary hypertension complicating pregnancy, third trimester",,,Gynecology
"O10419  Pre-existing secondary hypertension complicating pregnancy, unspecified trimester",,,Gynecology
"O10911  Unspecified pre-existing hypertension complicating pregnancy, first trimester",,,Gynecology
"O10912  Unspecified pre-existing hypertension complicating pregnancy, second trimester",,,Gynecology
"O10913  Unspecified pre-existing hypertension complicating pregnancy, third trimester",,,Gynecology
"O10919  Unspecified pre-existing hypertension complicating pregnancy, unspecified trimester",,,Gynecology
"O131    Gestational [pregnancy-induced] hypertension without significant proteinuria, first trimester",,,Gynecology
"O132    Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester",,,Gynecology
"O133    Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester",,,Gynecology
"O134    Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating
childbirth",,,Gynecology
"O135    Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating the
puerperium",,,Gynecology
"O139    Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified
trimester",,,Gynecology
"O1500   Eclampsia complicating pregnancy, unspecified trimester",,,Gynecology
"O1502   Eclampsia complicating pregnancy, second trimester",,,Gynecology
"O1503   Eclampsia complicating pregnancy, third trimester",,,Gynecology
O208    Other hemorrhage in early pregnancy,,,Gynecology
"O209    Hemorrhage in early pregnancy, unspecified",,,Gynecology
O212    Late vomiting of pregnancy,,,Gynecology
O218    Other vomiting complicating pregnancy,,,Gynecology
"O219    Vomiting of pregnancy, unspecified",,,Gynecology
"O2200   Varicose veins of lower extremity in pregnancy, unspecified trimester",,,Gynecology
"O2201   Varicose veins of lower extremity in pregnancy, first trimester",,,Gynecology
"O2202   Varicose veins of lower extremity in pregnancy, second trimester",,,Gynecology
"O2203   Varicose veins of lower extremity in pregnancy, third trimester",,,Gynecology
"O2210   Genital varices in pregnancy, unspecified trimester",,,Gynecology
"O2211   Genital varices in pregnancy, first trimester",,,Gynecology
"O2212   Genital varices in pregnancy, second trimester",,,Gynecology
"O2213   Genital varices in pregnancy, third trimester",,,Gynecology
"O2220   Superficial thrombophlebitis in pregnancy, unspecified trimester",,,Gynecology
"O2221   Superficial thrombophlebitis in pregnancy, first trimester",,,Gynecology
"O2222   Superficial thrombophlebitis in pregnancy, second trimester",,,Gynecology
"O2223   Superficial thrombophlebitis in pregnancy, third trimester",,,Gynecology
"O2230   Deep phlebothrombosis in pregnancy, unspecified trimester",,,Gynecology
"O2231   Deep phlebothrombosis in pregnancy, first trimester",,,Gynecology
"O2232   Deep phlebothrombosis in pregnancy, second trimester",,,Gynecology
"O2233   Deep phlebothrombosis in pregnancy, third trimester",,,Gynecology
"O2240   Hemorrhoids in pregnancy, unspecified trimester",,,Gynecology
"O2241   Hemorrhoids in pregnancy, first trimester",,,Gynecology
"O2242   Hemorrhoids in pregnancy, second trimester",,,Gynecology
"O2243   Hemorrhoids in pregnancy, third trimester",,,Gynecology
"O2250   Cerebral venous thrombosis in pregnancy, unspecified trimester",,,Gynecology
"O2251   Cerebral venous thrombosis in pregnancy, first trimester",,,Gynecology
"O2252   Cerebral venous thrombosis in pregnancy, second trimester",,,Gynecology
"O2253   Cerebral venous thrombosis in pregnancy, third trimester",,,Gynecology
"O228X1  Other venous complications in pregnancy, first trimester",,,Gynecology
"O228X2  Other venous complications in pregnancy, second trimester",,,Gynecology
"O228X3  Other venous complications in pregnancy, third trimester",,,Gynecology
"O228X9  Other venous complications in pregnancy, unspecified trimester",,,Gynecology
"O2290   Venous complication in pregnancy, unspecified, unspecified trimester",,,Gynecology
"O2291   Venous complication in pregnancy, unspecified, first trimester",,,Gynecology
"O2292   Venous complication in pregnancy, unspecified, second trimester",,,Gynecology
"O2293   Venous complication in pregnancy, unspecified, third trimester",,,Gynecology
"O2300   Infections of kidney in pregnancy, unspecified trimester",,,Gynecology
"O2301   Infections of kidney in pregnancy, first trimester",,,Gynecology
"O2302   Infections of kidney in pregnancy, second trimester",,,Gynecology
"O2303   Infections of kidney in pregnancy, third trimester",,,Gynecology
"O2310   Infections of bladder in pregnancy, unspecified trimester",,,Gynecology
"O2311   Infections of bladder in pregnancy, first trimester",,,Gynecology
"O2312   Infections of bladder in pregnancy, second trimester",,,Gynecology
"O2313   Infections of bladder in pregnancy, third trimester",,,Gynecology
"O2320   Infections of urethra in pregnancy, unspecified trimester",,,Gynecology
"O2321   Infections of urethra in pregnancy, first trimester",,,Gynecology
"O2322   Infections of urethra in pregnancy, second trimester",,,Gynecology
"O2323   Infections of urethra in pregnancy, third trimester",,,Gynecology
"O2330   Infections of other parts of urinary tract in pregnancy, unspecified trimester",,,Gynecology
