Diagnosis,Symptoms,MEDICATION,Specialty
"E1340   Other specified diabetes mellitus with diabetic neuropathy, unspecified",,,Neurology
E1343   Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy,,,Neurology
F0150   Vascular dementia without behavioral disturbance,,,Neurology
F0151   Vascular dementia with behavioral disturbance,,,Neurology
F0280   Dementia in other diseases classified elsewhere without behavioral disturbance,,,Neurology
F0281   Dementia in other diseases classified elsewhere with behavioral disturbance,,,Neurology
F0390   Unspecified dementia without behavioral disturbance,,,Neurology
F0391   Unspecified dementia with behavioral disturbance,,,Neurology
F1027   Alcohol dependence with alcohol-induced persisting dementia,,,Neurology
"F1097   Alcohol use, unspecified with alcohol-induced persisting dementia",,,Neurology
"F1327   Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced
persisting dementia",,,Neurology
"F1397   Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced
persisting dementia",,,Neurology
F1817   Inhalant abuse with inhalant-induced dementia,,,Neurology
F1827   Inhalant dependence with inhalant-induced dementia,,,Neurology
"F1897   Inhalant use, unspecified with inhalant-induced persisting dementia",,,Neurology
F1917   Other psychoactive substance abuse with psychoactive substance-induced persisting dementia,,,Neurology
"F1927   Other psychoactive substance dependence with psychoactive substance-induced persisting
dementia",,,Neurology
"F1997   Other psychoactive substance use, unspecified with psychoactive substance-induced persisting
dementia",,,Neurology
G130    Paraneoplastic neuromyopathy and neuropathy,,,Neurology
G20     Parkinson's disease,,,Neurology
G3109   Other frontotemporal dementia,,,Neurology
"G311    Senile degeneration of brain, not elsewhere classified",,,Neurology
G3183   Dementia with Lewy bodies,,,Neurology
G35     Multiple sclerosis,,,Neurology
"G40001  Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of
localized onset, not intractable, with status epilepticus",,,Neurology
"G40009  Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of
localized onset, not intractable, without status epilepticus",,,Neurology
"G40011  Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of
localized onset, intractable, with status epilepticus",,,Neurology
"G40019  Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of
localized onset, intractable, without status epilepticus",,,Neurology
"G40101  Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple
partial seizures, not intractable, with status epilepticus",,,Neurology
"G40109  Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple
partial seizures, not intractable, without status epilepticus",,,Neurology
"G40111  Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple
partial seizures, intractable, with status epilepticus",,,Neurology
"G40119  Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple
partial seizures, intractable, without status epilepticus",,,Neurology
"G40201  Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with
complex partial seizures, not intractable, with status epilepticus",,,Neurology
"G40209  Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with
complex partial seizures, not intractable, without status epilepticus",,,Neurology
"G40211  Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with
complex partial seizures, intractable, with status epilepticus",,,Neurology
"G40219  Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with
complex partial seizures, intractable, without status epilepticus",,,Neurology
"G40301  Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status
epilepticus",,,Neurology
"G40309  Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status
epilepticus",,,Neurology
"G40311  Generalized idiopathic epilepsy and epileptic syndromes, intractable, with status epilepticus",,,Neurology
"G40319  Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus",,,Neurology
"G40B01  Juvenile myoclonic epilepsy, not intractable, with status epilepticus",,,Neurology
"G40B09  Juvenile myoclonic epilepsy, not intractable, without status epilepticus",,,Neurology
"G40B11  Juvenile myoclonic epilepsy, intractable, with status epilepticus",,,Neurology
"G40B19  Juvenile myoclonic epilepsy, intractable, without status epilepticus",,,Neurology
"G40401  Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus",,,Neurology
"G40409  Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus",,,Neurology
"G40411  Other generalized epilepsy and epileptic syndromes, intractable, with status epilepticus",,,Neurology
"G40419  Other generalized epilepsy and epileptic syndromes, intractable, without status epilepticus",,,Neurology
"G40801  Other epilepsy, not intractable, with status epilepticus",,,Neurology
"G40802  Other epilepsy, not intractable, without status epilepticus",,,Neurology
"G40803  Other epilepsy, intractable, with status epilepticus",,,Neurology
"G40804  Other epilepsy, intractable, without status epilepticus",,,Neurology
"G40901  Epilepsy, unspecified, not intractable, with status epilepticus",,,Neurology
"G40909  Epilepsy, unspecified, not intractable, without status epilepticus",,,Neurology
"G40911  Epilepsy, unspecified, intractable, with status epilepticus",,,Neurology
"G40919  Epilepsy, unspecified, intractable, without status epilepticus",,,Neurology
"G43001  Migraine without aura, not intractable, with status migrainosus",,,Neurology
"G43009  Migraine without aura, not intractable, without status migrainosus",,,Neurology
"G43011  Migraine without aura, intractable, with status migrainosus",,,Neurology
"G43019  Migraine without aura, intractable, without status migrainosus",,,Neurology
"G43101  Migraine with aura, not intractable, with status migrainosus",,,Neurology
"G43109  Migraine with aura, not intractable, without status migrainosus",,,Neurology
"G43111  Migraine with aura, intractable, with status migrainosus",,,Neurology
"G43119  Migraine with aura, intractable, without status migrainosus",,,Neurology
"G43401  Hemiplegic migraine, not intractable, with status migrainosus",,,Neurology
"G43409  Hemiplegic migraine, not intractable, without status migrainosus",,,Neurology
"G43411  Hemiplegic migraine, intractable, with status migrainosus",,,Neurology
"G43419  Hemiplegic migraine, intractable, without status migrainosus",,,Neurology
"G43501  Persistent migraine aura without cerebral infarction, not intractable, with status migrainosus",,,Neurology
"G43509  Persistent migraine aura without cerebral infarction, not intractable, without status
migrainosus",,,Neurology
"G43511  Persistent migraine aura without cerebral infarction, intractable, with status migrainosus",,,Neurology
"G43519  Persistent migraine aura without cerebral infarction, intractable, without status migrainosus",,,Neurology
"G43601  Persistent migraine aura with cerebral infarction, not intractable, with status migrainosus",,,Neurology
"G43609  Persistent migraine aura with cerebral infarction, not intractable, without status migrainosus",,,Neurology
"G43611  Persistent migraine aura with cerebral infarction, intractable, with status migrainosus",,,Neurology
"G43619  Persistent migraine aura with cerebral infarction, intractable, without status migrainosus",,,Neurology
"G43701  Chronic migraine without aura, not intractable, with status migrainosus",,,Neurology
"G43709  Chronic migraine without aura, not intractable, without status migrainosus",,,Neurology
"G43711  Chronic migraine without aura, intractable, with status migrainosus",,,Neurology
"G43719  Chronic migraine without aura, intractable, without status migrainosus",,,Neurology
"G43B0   Ophthalmoplegic migraine, not intractable",,,Neurology
"G43B1   Ophthalmoplegic migraine, intractable",,,Neurology
"G43D0   Abdominal migraine, not intractable",,,Neurology
"G43D1   Abdominal migraine, intractable",,,Neurology
"G43801  Other migraine, not intractable, with status migrainosus",,,Neurology
"G43809  Other migraine, not intractable, without status migrainosus",,,Neurology
"G43811  Other migraine, intractable, with status migrainosus",,,Neurology
"G43819  Other migraine, intractable, without status migrainosus",,,Neurology
"G43821  Menstrual migraine, not intractable, with status migrainosus",,,Neurology
"G43829  Menstrual migraine, not intractable, without status migrainosus",,,Neurology
"G43831  Menstrual migraine, intractable, with status migrainosus",,,Neurology
"G43839  Menstrual migraine, intractable, without status migrainosus",,,Neurology
"G43901  Migraine, unspecified, not intractable, with status migrainosus",,,Neurology
"G43909  Migraine, unspecified, not intractable, without status migrainosus",,,Neurology
"G43911  Migraine, unspecified, intractable, with status migrainosus",,,Neurology
"G43919  Migraine, unspecified, intractable, without status migrainosus",,,Neurology
G463    Brain stem stroke syndrome,,,Neurology
G464    Cerebellar stroke syndrome,,,Neurology
G468    Other vascular syndromes of brain in cerebrovascular diseases,,,Neurology
G508    Other disorders of trigeminal nerve,,,Neurology
"G509    Disorder of trigeminal nerve, unspecified",,,Neurology
G518    Other disorders of facial nerve,,,Neurology
"G519    Disorder of facial nerve, unspecified",,,Neurology
G520    Disorders of olfactory nerve,,,Neurology
G521    Disorders of glossopharyngeal nerve,,,Neurology
G522    Disorders of vagus nerve,,,Neurology
G523    Disorders of hypoglossal nerve,,,Neurology
"G529    Cranial nerve disorder, unspecified",,,Neurology
G53     Cranial nerve disorders in diseases classified elsewhere,,,Neurology
G548    Other nerve root and plexus disorders,,,Neurology
"G549    Nerve root and plexus disorder, unspecified",,,Neurology
G55     Nerve root and plexus compressions in diseases classified elsewhere,,,Neurology
"G5610   Other lesions of median nerve, unspecified upper limb",,,Neurology
"G5611   Other lesions of median nerve, right upper limb",,,Neurology
"G5612   Other lesions of median nerve, left upper limb",,,Neurology
"G5613   Other lesions of median nerve, bilateral upper limbs",,,Neurology
"G5620   Lesion of ulnar nerve, unspecified upper limb",,,Neurology
"G5621   Lesion of ulnar nerve, right upper limb",,,Neurology
"G5622   Lesion of ulnar nerve, left upper limb",,,Neurology
"G5623   Lesion of ulnar nerve, bilateral upper limbs",,,Neurology
"G5630   Lesion of radial nerve, unspecified upper limb",,,Neurology
"G5631   Lesion of radial nerve, right upper limb",,,Neurology
"G5632   Lesion of radial nerve, left upper limb",,,Neurology
"G5633   Lesion of radial nerve, bilateral upper limbs",,,Neurology
"G5700   Lesion of sciatic nerve, unspecified lower limb",,,Neurology
"G5701   Lesion of sciatic nerve, right lower limb",,,Neurology
"G5702   Lesion of sciatic nerve, left lower limb",,,Neurology
"G5703   Lesion of sciatic nerve, bilateral lower limbs",,,Neurology
"G5720   Lesion of femoral nerve, unspecified lower limb",,,Neurology
"G5721   Lesion of femoral nerve, right lower limb",,,Neurology
"G5722   Lesion of femoral nerve, left lower limb",,,Neurology
"G5723   Lesion of femoral nerve, bilateral lower limbs",,,Neurology
"G5730   Lesion of lateral popliteal nerve, unspecified lower limb",,,Neurology
"G5731   Lesion of lateral popliteal nerve, right lower limb",,,Neurology
"G5732   Lesion of lateral popliteal nerve, left lower limb",,,Neurology
"G5733   Lesion of lateral popliteal nerve, bilateral lower limbs",,,Neurology
"G5740   Lesion of medial popliteal nerve, unspecified lower limb",,,Neurology
"G5741   Lesion of medial popliteal nerve, right lower limb",,,Neurology
"G5742   Lesion of medial popliteal nerve, left lower limb",,,Neurology
"G5743   Lesion of medial popliteal nerve, bilateral lower limbs",,,Neurology
"G5760   Lesion of plantar nerve, unspecified lower limb",,,Neurology
"G5761   Lesion of plantar nerve, right lower limb",,,Neurology
"G5762   Lesion of plantar nerve, left lower limb",,,Neurology
"G5763   Lesion of plantar nerve, bilateral lower limbs",,,Neurology
G580    Intercostal neuropathy,,,Neurology
G600    Hereditary motor and sensory neuropathy,,,Neurology
G602    Neuropathy in association with hereditary ataxia,,,Neurology
G603    Idiopathic progressive neuropathy,,,Neurology
"G609    Hereditary and idiopathic neuropathy, unspecified",,,Neurology
G611    Serum neuropathy,,,Neurology
G6182   Multifocal motor neuropathy,,,Neurology
G9009   Other idiopathic peripheral autonomic neuropathy,,,Neurology
"G931    Anoxic brain damage, not elsewhere classified",,,Neurology
G935    Compression of brain,,,Neurology
G9382   Brain death,,,Neurology
G9389   Other specified disorders of brain,,,Neurology
"G939    Disorder of brain, unspecified",,,Neurology
G94     Other disorders of brain in diseases classified elsewhere,,,Neurology
G990    Autonomic neuropathy in diseases classified elsewhere,,,Neurology
H462    Nutritional optic neuropathy,,,Neurology
H463    Toxic optic neuropathy,,,Neurology
"H47011  Ischemic optic neuropathy, right eye",,,Neurology
"H47012  Ischemic optic neuropathy, left eye",,,Neurology
"H47013  Ischemic optic neuropathy, bilateral",,,Neurology
"H47019  Ischemic optic neuropathy, unspecified eye",,,Neurology
"H47021  Hemorrhage in optic nerve sheath, right eye",,,Neurology
"H47022  Hemorrhage in optic nerve sheath, left eye",,,Neurology
"H47023  Hemorrhage in optic nerve sheath, bilateral",,,Neurology
"H47029  Hemorrhage in optic nerve sheath, unspecified eye",,,Neurology
"H47031  Optic nerve hypoplasia, right eye",,,Neurology
"H47032  Optic nerve hypoplasia, left eye",,,Neurology
"H47033  Optic nerve hypoplasia, bilateral",,,Neurology
"H47039  Optic nerve hypoplasia, unspecified eye",,,Neurology
"H47091  Other disorders of optic nerve, not elsewhere classified, right eye",,,Neurology
"H47092  Other disorders of optic nerve, not elsewhere classified, left eye",,,Neurology
"H47093  Other disorders of optic nerve, not elsewhere classified, bilateral",,,Neurology
"H47099  Other disorders of optic nerve, not elsewhere classified, unspecified eye",,,Neurology
"H47611  Cortical blindness, right side of brain",,,Neurology
"H47612  Cortical blindness, left side of brain",,,Neurology
"H47619  Cortical blindness, unspecified side of brain",,,Neurology
"H47621  Disorders of visual cortex in (due to) inflammatory disorders, right side of brain",,,Neurology
"H47622  Disorders of visual cortex in (due to) inflammatory disorders, left side of brain",,,Neurology
"H47629  Disorders of visual cortex in (due to) inflammatory disorders, unspecified side of brain",,,Neurology
"H47631  Disorders of visual cortex in (due to) neoplasm, right side of brain",,,Neurology
"H47632  Disorders of visual cortex in (due to) neoplasm, left side of brain",,,Neurology
"H47639  Disorders of visual cortex in (due to) neoplasm, unspecified side of brain",,,Neurology
"H47641  Disorders of visual cortex in (due to) vascular disorders, right side of brain",,,Neurology
"H47642  Disorders of visual cortex in (due to) vascular disorders, left side of brain",,,Neurology
"H47649  Disorders of visual cortex in (due to) vascular disorders, unspecified side of brain",,,Neurology
"H4900   Third [oculomotor] nerve palsy, unspecified eye",,,Neurology
"H4901   Third [oculomotor] nerve palsy, right eye",,,Neurology
"H4902   Third [oculomotor] nerve palsy, left eye",,,Neurology
"H4903   Third [oculomotor] nerve palsy, bilateral",,,Neurology
"H4910   Fourth [trochlear] nerve palsy, unspecified eye",,,Neurology
"H4911   Fourth [trochlear] nerve palsy, right eye",,,Neurology
"H4912   Fourth [trochlear] nerve palsy, left eye",,,Neurology
"H4913   Fourth [trochlear] nerve palsy, bilateral",,,Neurology
"H4920   Sixth [abducent] nerve palsy, unspecified eye",,,Neurology
"H4921   Sixth [abducent] nerve palsy, right eye",,,Neurology
"H4922   Sixth [abducent] nerve palsy, left eye",,,Neurology
"H4923   Sixth [abducent] nerve palsy, bilateral",,,Neurology
H933X1  Disorders of right acoustic nerve,,,Neurology
H933X2  Disorders of left acoustic nerve,,,Neurology
H933X9  Disorders of unspecified acoustic nerve,,,Neurology
I613    Nontraumatic intracerebral hemorrhage in brain stem,,,Neurology
P111    Other specified brain damage due to birth injury,,,Neurology
P112    Unspecified brain damage due to birth injury,,,Neurology
P113    Birth injury to facial nerve,,,Neurology
P142    Phrenic nerve paralysis due to birth injury,,,Neurology
Q043    Other reduction deformities of brain,,,Neurology
Q044    Septo-optic dysplasia of brain,,,Neurology
Q048    Other specified congenital malformations of brain,,,Neurology
"Q049    Congenital malformation of brain, unspecified",,,Neurology
R9402   Abnormal brain scan,,,Neurology
"R94130  Abnormal response to nerve stimulation, unspecified",,,Neurology
"S04011A Injury of optic nerve, right eye, initial encounter",,,Neurology
"S04011D Injury of optic nerve, right eye, subsequent encounter",,,Neurology
"S04011S Injury of optic nerve, right eye, sequela",,,Neurology
"S04012A Injury of optic nerve, left eye, initial encounter",,,Neurology
"S04012D Injury of optic nerve, left eye, subsequent encounter",,,Neurology
"S04012S Injury of optic nerve, left eye, sequela",,,Neurology
"S04019A Injury of optic nerve, unspecified eye, initial encounter",,,Neurology
"S04019D Injury of optic nerve, unspecified eye, subsequent encounter",,,Neurology
"S04019S Injury of optic nerve, unspecified eye, sequela",,,Neurology
"S0410XA Injury of oculomotor nerve, unspecified side, initial encounter",,,Neurology
"S0410XD Injury of oculomotor nerve, unspecified side, subsequent encounter",,,Neurology
"S0410XS Injury of oculomotor nerve, unspecified side, sequela",,,Neurology
"S0411XA Injury of oculomotor nerve, right side, initial encounter",,,Neurology
"S0411XD Injury of oculomotor nerve, right side, subsequent encounter",,,Neurology
"S0411XS Injury of oculomotor nerve, right side, sequela",,,Neurology
"S0412XA Injury of oculomotor nerve, left side, initial encounter",,,Neurology
"S0412XD Injury of oculomotor nerve, left side, subsequent encounter",,,Neurology
"S0412XS Injury of oculomotor nerve, left side, sequela",,,Neurology
"S0420XA Injury of trochlear nerve, unspecified side, initial encounter",,,Neurology
"S0420XD Injury of trochlear nerve, unspecified side, subsequent encounter",,,Neurology
"S0420XS Injury of trochlear nerve, unspecified side, sequela",,,Neurology
"S0421XA Injury of trochlear nerve, right side, initial encounter",,,Neurology
"S0421XD Injury of trochlear nerve, right side, subsequent encounter",,,Neurology
"S0421XS Injury of trochlear nerve, right side, sequela",,,Neurology
"S0422XA Injury of trochlear nerve, left side, initial encounter",,,Neurology
"S0422XD Injury of trochlear nerve, left side, subsequent encounter",,,Neurology
"S0422XS Injury of trochlear nerve, left side, sequela",,,Neurology
"S0430XA Injury of trigeminal nerve, unspecified side, initial encounter",,,Neurology
"S0430XD Injury of trigeminal nerve, unspecified side, subsequent encounter",,,Neurology
"S0430XS Injury of trigeminal nerve, unspecified side, sequela",,,Neurology
"S0431XA Injury of trigeminal nerve, right side, initial encounter",,,Neurology
"S0431XD Injury of trigeminal nerve, right side, subsequent encounter",,,Neurology
"S0431XS Injury of trigeminal nerve, right side, sequela",,,Neurology
"S0432XA Injury of trigeminal nerve, left side, initial encounter",,,Neurology
"S0432XD Injury of trigeminal nerve, left side, subsequent encounter",,,Neurology
"S0432XS Injury of trigeminal nerve, left side, sequela",,,Neurology
"S0440XA Injury of abducent nerve, unspecified side, initial encounter",,,Neurology
"S0440XD Injury of abducent nerve, unspecified side, subsequent encounter",,,Neurology
"S0440XS Injury of abducent nerve, unspecified side, sequela",,,Neurology
"S0441XA Injury of abducent nerve, right side, initial encounter",,,Neurology
"S0441XD Injury of abducent nerve, right side, subsequent encounter",,,Neurology
"S0441XS Injury of abducent nerve, right side, sequela",,,Neurology
"S0442XA Injury of abducent nerve, left side, initial encounter",,,Neurology
"S0442XD Injury of abducent nerve, left side, subsequent encounter",,,Neurology
"S0442XS Injury of abducent nerve, left side, sequela",,,Neurology
"S0450XA Injury of facial nerve, unspecified side, initial encounter",,,Neurology
"S0450XD Injury of facial nerve, unspecified side, subsequent encounter",,,Neurology
"S0450XS Injury of facial nerve, unspecified side, sequela",,,Neurology
"S0451XA Injury of facial nerve, right side, initial encounter",,,Neurology
"S0451XD Injury of facial nerve, right side, subsequent encounter",,,Neurology
"S0451XS Injury of facial nerve, right side, sequela",,,Neurology
"S0452XA Injury of facial nerve, left side, initial encounter",,,Neurology
"S0452XD Injury of facial nerve, left side, subsequent encounter",,,Neurology
"S0452XS Injury of facial nerve, left side, sequela",,,Neurology
"S0460XA Injury of acoustic nerve, unspecified side, initial encounter",,,Neurology
"S0460XD Injury of acoustic nerve, unspecified side, subsequent encounter",,,Neurology
"S0460XS Injury of acoustic nerve, unspecified side, sequela",,,Neurology
"S0461XA Injury of acoustic nerve, right side, initial encounter",,,Neurology
"S0461XD Injury of acoustic nerve, right side, subsequent encounter",,,Neurology
"S0461XS Injury of acoustic nerve, right side, sequela",,,Neurology
"S0462XA Injury of acoustic nerve, left side, initial encounter",,,Neurology
"S0462XD Injury of acoustic nerve, left side, subsequent encounter",,,Neurology
"S0462XS Injury of acoustic nerve, left side, sequela",,,Neurology
"S0470XA Injury of accessory nerve, unspecified side, initial encounter",,,Neurology
"S0470XD Injury of accessory nerve, unspecified side, subsequent encounter",,,Neurology
"S0470XS Injury of accessory nerve, unspecified side, sequela",,,Neurology
"S0471XA Injury of accessory nerve, right side, initial encounter",,,Neurology
"S0471XD Injury of accessory nerve, right side, subsequent encounter",,,Neurology
"S0471XS Injury of accessory nerve, right side, sequela",,,Neurology
"S0472XA Injury of accessory nerve, left side, initial encounter",,,Neurology
"S0472XD Injury of accessory nerve, left side, subsequent encounter",,,Neurology
"S0472XS Injury of accessory nerve, left side, sequela",,,Neurology
"S04811A Injury of olfactory [1st ] nerve, right side, initial encounter",,,Neurology
"S04811D Injury of olfactory [1st ] nerve, right side, subsequent encounter",,,Neurology
"S04811S Injury of olfactory [1st ] nerve, right side, sequela",,,Neurology
"S04812A Injury of olfactory [1st ] nerve, left side, initial encounter",,,Neurology
"S04812D Injury of olfactory [1st ] nerve, left side, subsequent encounter",,,Neurology
"S04812S Injury of olfactory [1st ] nerve, left side, sequela",,,Neurology
"S04819A Injury of olfactory [1st ] nerve, unspecified side, initial encounter",,,Neurology
"S04819D Injury of olfactory [1st ] nerve, unspecified side, subsequent encounter",,,Neurology
"S04819S Injury of olfactory [1st ] nerve, unspecified side, sequela",,,Neurology
"S049XXA Injury of unspecified cranial nerve, initial encounter",,,Neurology
"S049XXD Injury of unspecified cranial nerve, subsequent encounter",,,Neurology
"S049XXS Injury of unspecified cranial nerve, sequela",,,Neurology
"S061X7A Traumatic cerebral edema with loss of consciousness of any duration with death due to brain
injury prior to regaining consciousness, initial encounter",,,Neurology
"S061X7D Traumatic cerebral edema with loss of consciousness of any duration with death due to brain
injury prior to regaining consciousness, subsequent encounter",,,Neurology
"S061X7S Traumatic cerebral edema with loss of consciousness of any duration with death due to brain
injury prior to regaining consciousness, sequela",,,Neurology
"S062X0A Diffuse traumatic brain injury without loss of consciousness, initial encounter",,,Neurology
"S062X0D Diffuse traumatic brain injury without loss of consciousness, subsequent encounter",,,Neurology
"S062X0S Diffuse traumatic brain injury without loss of consciousness, sequela",,,Neurology
"S062X1A Diffuse traumatic brain injury with loss of consciousness of 30 minutes or less, initial encounter",,,Neurology
"S062X1D Diffuse traumatic brain injury with loss of consciousness of 30 minutes or less, subsequent
encounter",,,Neurology
"S062X1S Diffuse traumatic brain injury with loss of consciousness of 30 minutes or less, sequela",,,Neurology
"S062X2A Diffuse traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes, initial
encounter",,,Neurology
"S062X2D Diffuse traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes,
subsequent encounter",,,Neurology
"S062X2S Diffuse traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes, sequela",,,Neurology
"S062X3A Diffuse traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes, initial
encounter",,,Neurology
"S062X3D Diffuse traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes,
subsequent encounter",,,Neurology
"S062X3S Diffuse traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes,
sequela",,,Neurology
"S062X4A Diffuse traumatic brain injury with loss of consciousness of 6 hours to 24 hours, initial
encounter",,,Neurology
"S062X4D Diffuse traumatic brain injury with loss of consciousness of 6 hours to 24 hours, subsequent
encounter",,,Neurology
"S062X4S Diffuse traumatic brain injury with loss of consciousness of 6 hours to 24 hours, sequela",,,Neurology
"S062X5A Diffuse traumatic brain injury with loss of consciousness greater than 24 hours with return to
pre-existing conscious levels, initial encounter",,,Neurology
"S062X5D Diffuse traumatic brain injury with loss of consciousness greater than 24 hours with return to
pre-existing conscious levels, subsequent encounter",,,Neurology
"S062X5S Diffuse traumatic brain injury with loss of consciousness greater than 24 hours with return to
pre-existing conscious levels, sequela",,,Neurology
"S062X6A Diffuse traumatic brain injury with loss of consciousness greater than 24 hours without return
to pre-existing conscious level with patient surviving, initial encounter",,,Neurology
"S062X6D Diffuse traumatic brain injury with loss of consciousness greater than 24 hours without return
to pre-existing conscious level with patient surviving, subsequent encounter",,,Neurology
"S062X6S Diffuse traumatic brain injury with loss of consciousness greater than 24 hours without return
to pre-existing conscious level with patient surviving, sequela",,,Neurology
"S062X7A Diffuse traumatic brain injury with loss of consciousness of any duration with death due to
brain injury prior to regaining consciousness, initial encounter",,,Neurology
"S062X7D Diffuse traumatic brain injury with loss of consciousness of any duration with death due to
brain injury prior to regaining consciousness, subsequent encounter",,,Neurology
"S062X7S Diffuse traumatic brain injury with loss of consciousness of any duration with death due to
brain injury prior to regaining consciousness, sequela",,,Neurology
"S062X8A Diffuse traumatic brain injury with loss of consciousness of any duration with death due to
other cause prior to regaining consciousness, initial encounter",,,Neurology
"S062X8D Diffuse traumatic brain injury with loss of consciousness of any duration with death due to
other cause prior to regaining consciousness, subsequent encounter",,,Neurology
"S062X8S Diffuse traumatic brain injury with loss of consciousness of any duration with death due to
other cause prior to regaining consciousness, sequela",,,Neurology
"S062X9A Diffuse traumatic brain injury with loss of consciousness of unspecified duration, initial
encounter",,,Neurology
"S062X9D Diffuse traumatic brain injury with loss of consciousness of unspecified duration, subsequent
encounter",,,Neurology
"S062X9S Diffuse traumatic brain injury with loss of consciousness of unspecified duration, sequela",,,Neurology
"S06300A Unspecified focal traumatic brain injury without loss of consciousness, initial encounter",,,Neurology
"S06300D Unspecified focal traumatic brain injury without loss of consciousness, subsequent encounter",,,Neurology
"S06300S Unspecified focal traumatic brain injury without loss of consciousness, sequela",,,Neurology
"S06301A Unspecified focal traumatic brain injury with loss of consciousness of 30 minutes or less, initial
encounter",,,Neurology
"S06301D Unspecified focal traumatic brain injury with loss of consciousness of 30 minutes or less,
subsequent encounter",,,Neurology
"S06301S Unspecified focal traumatic brain injury with loss of consciousness of 30 minutes or less,
sequela",,,Neurology
"S06302A Unspecified focal traumatic brain injury with loss of consciousness of 31 minutes to 59
minutes, initial encounter",,,Neurology
"S06302D Unspecified focal traumatic brain injury with loss of consciousness of 31 minutes to 59
minutes, subsequent encounter",,,Neurology
